 distance[ft], uprime[ft/s], vprime[ft/s], wprime[ft/s]
   0.0000000000000000      ,  0.56419934237872305      ,  0.30618655533027261      , -0.17618948010461169     
   20.000000000000000      ,  0.71513259520675243      , -0.38704796030307492      , -0.19376365682218349     
   40.000000000000000      , -0.14963534996404770      , -0.20043794329918591      ,  -3.0388314351813637E-002
   60.000000000000000      ,  0.50042370377556644      ,  -2.5203098123521617E-002 ,   1.1195624767621932     
   80.000000000000000      , -0.56986493274915218      ,  -1.1840876070256527      ,  0.77158460987177080     
   100.00000000000000      , -0.88357898196082496      ,  -1.0651702122684930      ,  0.28554142151546263     
   120.00000000000000      , -0.30171658116351696      , -0.58655573609628842      ,  0.10640313928252254     
   140.00000000000000      , -0.42834956973053073      ,  -1.4895940953637399      ,  0.68815556611704076     
   160.00000000000000      ,  -1.2352779248252181      ,  0.92681991616463144      ,  0.89174312930000033     
   180.00000000000000      ,  -1.7609686541061504      ,  0.83298699169589585      ,  0.45600639095256634     
   200.00000000000000      ,  -2.1674090250335944      , -0.35219855022469226      ,  0.59296914938729406     
   220.00000000000000      , -0.97587413116272592      , -0.10501695233853979      ,   1.4581878551359979     
   240.00000000000000      ,  -1.1742405980769932      , -0.90584223751741832      ,   2.1684023163097357     
   260.00000000000000      ,  -2.1293799159249489      ,  0.95851091012322931      ,   2.6855293030307026     
   280.00000000000000      ,  -1.2628152229785470      ,   1.1730752248931529      ,   2.1784496727604363     
   300.00000000000000      ,  -1.5720467539075640      ,  0.60815100322827298      ,   2.1107682619903905     
   320.00000000000000      ,  -1.0157589989451992      ,   2.3746850888174631      ,   2.2667463412992448     
   340.00000000000000      ,  -1.2887285367600181      ,   1.5469990445780868      ,   1.7881735395536535     
   360.00000000000000      ,  -2.4118129152325305      ,   1.8708229323108030      ,   1.0007826869868066     
   380.00000000000000      ,  -2.9131187480692793      ,   1.6469432751028998      ,   1.0950537677760350     
   400.00000000000000      ,  -3.1379937042056332      ,   4.1306377648435637E-002 ,   1.3996091064178504     
   420.00000000000000      ,  -4.0962540335947466      , -0.14984838796048167      ,   2.3074221235354155     
   440.00000000000000      ,  -4.7626478553319407      , -0.11064672044386578      ,   2.5662781024050938     
   460.00000000000000      ,  -5.8573462196783588      , -0.72348763340233047      ,   2.3743909848218796     
   480.00000000000000      ,  -6.0116614612861774      ,   1.9522105920364703E-002 ,   3.3844464419030893     
   500.00000000000000      ,  -5.7726098564993222      ,  -4.8975180124725633E-002 ,   2.4612579839222999     
   520.00000000000000      ,  -4.7533551146008710      ,  0.88280238775124220      ,   1.2391029938963110     
   540.00000000000000      ,  -5.7769354288236388      ,   1.1284996109475092      ,   1.8538053765829814     
   560.00000000000000      ,  -5.8816050803967137      , -0.74729376251099677      ,   2.2340342380718288     
   580.00000000000000      ,  -5.8867278955112177      ,  0.12823545381892404      ,  0.11600984552821757     
   600.00000000000000      ,  -5.8620174538198411      ,   6.6479224424195973E-002 ,  -1.2744357050375450     
   620.00000000000000      ,  -5.3188597282041163      ,  0.91266602843715883      , -0.44800607140122894     
   640.00000000000000      ,  -5.3958059171738020      ,   1.3438891819089553      , -0.36299393492858123     
   660.00000000000000      ,  -6.4554519476468615      ,   1.5801327372112206      ,  -1.5524505051792443     
   680.00000000000000      ,  -6.1451706962207302      ,   1.8517515877179687      , -0.86862361006858302     
   700.00000000000000      ,  -5.8322621304157707      ,   2.4250245645925483      ,  -4.5038071041305465E-002
   720.00000000000000      ,  -5.8599118402549140      ,   1.8771756796383261      ,  0.67209708426054660     
   740.00000000000000      ,  -6.8708601744124058      ,   1.8505943245836964      ,   2.1525663762200460     
   760.00000000000000      ,  -7.4598717675220225      ,   2.5623536354232046      ,   2.7885608252455247     
   780.00000000000000      ,  -7.4936511471738152      ,   1.9643378931721298      ,   3.5682079652542096     
   800.00000000000000      ,  -7.6852124853325776      ,   2.1216763776661969      ,   3.8832825238416757     
   820.00000000000000      ,  -7.3311626212061922      ,   2.8290974058133074      ,   3.1818085522046937     
   840.00000000000000      ,  -7.0867803737971684      ,   3.1781499536362507      ,   2.7659180945694501     
   860.00000000000000      ,  -7.0779316306159057      ,   1.4258802186388135      ,   2.5665588481112160     
   880.00000000000000      ,  -7.7643719849242663      ,   2.8293464937509114      ,   2.6373506369893103     
   900.00000000000000      ,  -7.3745029531278359      ,   3.3523877276233636      ,   1.7718664695997126     
   920.00000000000000      ,  -6.7736300588103280      ,   1.9145036530473025      ,  0.56138342566078214     
   940.00000000000000      ,  -6.9251933799054015      ,  0.89885051581240616      ,  0.44544882850165241     
   960.00000000000000      ,  -6.9730157831376687      ,  0.39937855185604043      , -0.49248843543172799     
   980.00000000000000      ,  -5.3833614743848086      ,  0.69682260244057270      ,  -1.5261163338765678     
   1000.0000000000000      ,  -4.8399048514032081      ,  0.47125494395178108      ,  -1.5141931045213568     
   1020.0000000000000      ,  -5.2964855632833645      , -0.45403691402619950      , -0.35521987588828940     
   1040.0000000000000      ,  -5.9110223346745361      ,  0.27453235931211090      ,  -1.2342210371525393     
