parameter,independent_variables,1
time,psi_g[deg],gamma[deg],V[ft/s]
0.0,         0.0, 0.0, 500.0
499.9999,    0.0, 0.0, 500.0
500.0,      90.0, 0.0, 500.0
1499.9999,  90.0, 0.0, 500.0
1500.0,    180.0, 0.0, 500.0
2499.9999, 180.0, 0.0, 500.0
2500.0,    270.0, 0.0, 500.0
3499.9999, 270.0, 0.0, 500.0
3500.0,      0.0, 0.0, 500.0
3999.9999,     0, 0.0, 500.0
