     vehicle name   , time[s]            , dt[s]              , u[ft/s]            , v[ft/s]            , w[ft/s]            , p[rad/s]           , q[rad/s]           , r[rad/s]           , x[ft]              , y[ft]              , z[ft]              , e0                 , ex                 , ey                 , ez                 , aileron[deg]       , elevator[deg]      , rudder[deg]        , throttle           , d_aileron          , d_elevator         , d_rudder           , d_throttle         , aileron_sp[deg]    , elevator_sp[deg]   , rudder_sp[deg]     , throttle_sp[none]  
                F16,  0.000000000000E+00,  1.000000000000E-02,  3.466569293266E+02,  5.224531476727E-02,  4.825940965523E+01, -4.298953805875E-03,  1.123506101454E-02,  3.086807644363E-02,  0.000000000000E+00,  0.000000000000E+00, -1.000000000000E+03,  9.827239148319E-01,  1.732807407723E-01,  6.403137988815E-02, -1.129045988627E-02,  1.133554234542E-02, -9.374193049396E+00, -3.856781399119E-01,  7.605298529866E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00, -6.098026951092E-02,  3.642704472234E-01,  1.251031035401E+00,  7.605298529900E-02 
                F16,  1.000000000000E-02,  1.000000000000E-02,  3.466569465648E+02,  5.226849473666E-02,  4.825929868728E+01, -4.291467013877E-03,  1.121915486701E-02,  3.086499091406E-02,  3.496156215033E+00, -1.639867002418E-01, -1.000000000217E+03,  9.827257710466E-01,  1.732701413120E-01,  6.406006330477E-02, -1.112768349271E-02,  1.001958741180E-02, -9.324193049396E+00, -3.558943974790E-01,  7.605298529866E-02, -2.506230771500E-01,  1.000000000000E+01,  5.672301525583E+00,  7.528876126029E-15, -6.122222468088E-02,  3.683048813823E-01,  1.263415656377E+00,  7.605298529900E-02 
                F16,  2.000000000000E-02,  1.000000000000E-02,  3.466570807749E+02,  5.244471417492E-02,  4.825842421145E+01, -4.243402783138E-03,  1.110818768655E-02,  3.084505697290E-02,  6.992366709726E+00, -3.268133874457E-01, -1.000000003418E+03,  9.827275960388E-01,  1.732596527169E-01,  6.408847951571E-02, -1.096501334498E-02,  6.551731286481E-03, -9.174193049396E+00, -2.772813934117E-01,  7.605298529866E-02, -4.321628853958E-01,  2.000000000000E+01,  9.804997976159E+00,  1.483344208609E-14, -6.088633749942E-02,  3.692314528063E-01,  1.275112697584E+00,  7.605298529900E-02 
                F16,  3.000000000000E-02,  1.000000000000E-02,  3.466574841013E+02,  5.296086214966E-02,  4.825575555870E+01, -4.125401094114E-03,  1.080812936671E-02,  3.079572764162E-02,  1.048863144860E+01, -4.884757799078E-01, -1.000000017130E+03,  9.827293855134E-01,  1.732495359291E-01,  6.411594724556E-02, -1.080270603118E-02,  1.580198359953E-03, -8.924193049396E+00, -1.640796279415E-01,  7.605298529866E-02, -5.531755624109E-01,  3.000000000000E+01,  1.262800071701E+01,  2.191889172821E-14, -5.955165712393E-02,  3.639438585549E-01,  1.285604215319E+00,  7.605298529900E-02 
                F16,  4.000000000000E-02,  1.000000000000E-02,  3.466583430387E+02,  5.402625448641E-02,  4.824997529329E+01, -3.918576377632E-03,  1.022606981000E-02,  3.070849455663E-02,  1.398495056350E+01, -6.489672061804E-01, -1.000000053598E+03,  9.827311440501E-01,  1.732401615162E-01,  6.414133381216E-02, -1.064115824150E-02, -4.325054723739E-03, -8.574193049396E+00, -2.828789237873E-02,  7.605298529866E-02, -6.207735078860E-01,  4.000000000000E+01,  1.435881939660E+01,  2.879016282998E-14, -5.694385929439E-02,  3.493342448006E-01,  1.294531716788E+00,  7.605298529900E-02 
                F16,  5.000000000000E-02,  1.000000000000E-02,  3.466598740094E+02,  5.585941135097E-02,  4.823948432202E+01, -3.612756023323E-03,  9.270214089551E-03,  3.057821761353E-02,  1.748132426181E+01, -8.082789532901E-01, -1.000000129492E+03,  9.827328933503E-01,  1.732319640746E-01,  6.416305798046E-02, -1.048088454463E-02, -1.066107420016E-02, -8.124193049396E+00,  1.201913885543E-01,  7.605298529866E-02, -6.412388120280E-01,  5.000000000000E+01,  1.519857981801E+01,  3.545204728248E-14, -5.291103859939E-02,  3.222935132061E-01,  1.301670521280E+00,  7.605298529900E-02 
                F16,  6.000000000000E-02,  1.000000000000E-02,  3.466623188922E+02,  5.867755102427E-02,  4.822240695368E+01, -3.204880237503E-03,  7.849877955351E-03,  3.040250461887E-02,  2.097775270113E+01, -9.664005808582E-01, -1.000000265590E+03,  9.827346789366E-01,  1.732254046731E-01,  6.417909323195E-02, -1.032249887888E-02, -1.698572365097E-02, -7.574193049396E+00,  2.733744907703E-01,  7.605298529866E-02, -6.204318494762E-01,  5.833333333333E+01,  1.532949518123E+01,  4.190919530815E-14, -4.740165181004E-02,  2.797116270606E-01,  1.306905885918E+00,  7.605298529900E-02 
                F16,  7.000000000000E-02,  1.000000000000E-02,  3.466659239699E+02,  6.268847749309E-02,  4.819674473049E+01, -2.697563822473E-03,  5.896703160401E-03,  3.018114979618E-02,  2.447423583511E+01, -1.123320316644E+00, -1.000000486109E+03,  9.827365737186E-01,  1.732209408274E-01,  6.418699752173E-02, -1.016669483793E-02, -2.291474979214E-02, -6.982526382729E+00,  4.249996138342E-01,  7.605298529866E-02, -5.640383099661E-01,  6.000000000000E+01,  1.491352980378E+01,  4.816627430531E-14, -4.044463184680E-02,  2.191701913316E-01,  1.310211244432E+00,  7.605298529900E-02 
                F16,  8.000000000000E-02,  1.000000000000E-02,  3.466709000106E+02,  6.808454351055E-02,  4.816074472999E+01, -2.097823840193E-03,  3.398691264098E-03,  2.991563683124E-02,  2.797077330128E+01, -1.279026298807E+00, -1.000000815610E+03,  9.827386666790E-01,  1.732190050705E-01,  6.418415105927E-02, -1.001419239093E-02, -2.812068010388E-02, -6.382526382729E+00,  5.703217110256E-01,  7.605298529866E-02, -4.776930552418E-01,  6.000000000000E+01,  1.409201788336E+01,  5.422791471376E-14, -3.213174163924E-02,  1.400618055247E-01,  1.311628762977E+00,  7.605298529900E-02 
                F16,  9.000000000000E-02,  1.000000000000E-02,  3.466774458374E+02,  7.503838692207E-02,  4.811275325119E+01, -1.415955974320E-03,  3.599468870293E-04,  2.960870475803E-02,  3.146736439740E+01, -1.433507400255E+00, -1.000001276976E+03,  9.827410556646E-01,  1.732199882632E-01,  6.416791340038E-02, -9.865701557409E-03, -3.233249252764E-02, -5.782526382729E+00,  7.059073960037E-01,  7.605298529866E-02, -3.670143394345E-01,  6.000000000000E+01,  1.298602535013E+01,  6.009820152585E-14, -2.260194400772E-02,  4.229948315372E-02,  1.311252312553E+00,  7.605298529900E-02 
