     vehicle name   , time[s]            , dt[s]              , u[ft/s]            , v[ft/s]            , w[ft/s]            , p[rad/s]           , q[rad/s]           , r[rad/s]           , x[ft]              , y[ft]              , z[ft]              , e0                 , ex                 , ey                 , ez                 , aileron[deg]       , elevator[deg]      , rudder[deg]        , throttle           , d_aileron          , d_elevator         , d_rudder           , d_throttle         , aileron_sp[deg]    , elevator_sp[deg]   , rudder_sp[deg]     , throttle_sp[none]  
                F16,  0.000000000000E+00,  1.000000000000E-02,  3.469847117082E+02,  0.000000000000E+00,  4.584331838749E+01, -0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00, -1.000000000000E+03,  9.978438982614E-01,  0.000000000000E+00,  6.563196403104E-02,  0.000000000000E+00,  0.000000000000E+00, -9.086019165449E+00,  0.000000000000E+00,  7.018200235651E-02,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00,  0.000000000000E+00, -9.086019165449E+00,  0.000000000000E+00,  7.018200235700E-02 
                F16,  1.000000000000E-02,  1.000000000000E-02,  3.469847117082E+02,  7.477369670454E-23,  4.584331838749E+01, -6.937508377043E-24, -5.323065943023E-18, -6.612075260307E-23,  3.500000000000E+00, -1.579771501794E-27, -1.000000000000E+03,  9.978438982614E-01, -1.872746976774E-26,  6.563196403104E-02, -1.092508724049E-25, -5.651426641632E-22, -9.086019165449E+00,  0.000000000000E+00,  7.018200235651E-02,  0.000000000000E+00,  1.986625682176E-13,  0.000000000000E+00,  1.084109789976E-14, -5.651426641632E-22, -9.086019165449E+00,  0.000000000000E+00,  7.018200235700E-02 
                F16,  2.000000000000E-02,  1.000000000000E-02,  3.469847117082E+02,  6.202905846732E-22,  4.584331838749E+01, -2.871478721931E-23, -1.249290986251E-17, -2.860392300532E-22,  7.000000000000E+00, -3.024857563621E-26, -1.000000000000E+03,  9.978438982614E-01, -1.522130056846E-25,  6.563196403104E-02, -9.071681965211E-25, -2.344784644109E-21, -9.086019165449E+00,  0.000000000000E+00,  7.018200235651E-02,  0.000000000000E+00,  3.385145942708E-13,  0.000000000000E+00,  2.135932588112E-14, -2.344784644109E-21, -9.086019165449E+00,  0.000000000000E+00,  7.018200235700E-02 
                F16,  3.000000000000E-02,  1.000000000000E-02,  3.469847117082E+02,  2.258246569274E-21,  4.584331838749E+01, -6.940481395845E-23, -2.303040773711E-17, -7.249100045651E-22,  1.050000000000E+01, -1.730609104275E-25, -1.000000000000E+03,  9.978438982614E-01, -5.432730018276E-25,  6.563196403104E-02, -3.304569691190E-24, -5.682747066698E-21, -9.086019165449E+00,  0.000000000000E+00,  7.018200235651E-02,  0.000000000000E+00,  4.331186890345E-13,  0.000000000000E+00,  3.156181733024E-14, -5.682747066698E-21, -9.086019165449E+00,  0.000000000000E+00,  7.018200235700E-02 
                F16,  4.000000000000E-02,  1.000000000000E-02,  3.469847117082E+02,  5.886102404047E-21,  4.584331838749E+01, -1.355142202206E-22, -3.704419355806E-17, -1.474977207713E-21,  1.400000000000E+01, -6.172612779454E-25, -1.000000000000E+03,  9.978438982614E-01, -1.389191529526E-24,  6.563196403104E-02, -8.616917426880E-24, -1.112440258915E-20, -9.086019165449E+00,  0.000000000000E+00,  7.018200235651E-02,  0.000000000000E+00,  4.924643282703E-13,  0.000000000000E+00,  4.145595544881E-14, -1.112440258915E-20, -9.086019165449E+00,  0.000000000000E+00,  7.018200235700E-02 
                F16,  5.000000000000E-02,  1.000000000000E-02,  3.469847117082E+02,  1.270274169131E-20,  4.584331838749E+01, -2.326508782641E-22, -5.540333930602E-17, -2.627881117705E-21,  1.750000000000E+01, -1.699415144056E-24, -1.000000000000E+03,  9.978438982614E-01, -2.945242593225E-24,  6.563196403104E-02, -1.860278620119E-23, -1.914718327232E-20, -9.086019165449E+00,  0.000000000000E+00,  7.018200235651E-02,  0.000000000000E+00,  5.169854524381E-13,  0.000000000000E+00,  5.104849509649E-14, -1.914718327232E-20, -9.086019165449E+00,  0.000000000000E+00,  7.018200235700E-02 
                F16,  6.000000000000E-02,  1.000000000000E-02,  3.469847117082E+02,  2.426664103542E-20,  4.584331838749E+01, -3.687975639268E-22, -7.865101496201E-17, -4.302138343767E-21,  2.100000000000E+01, -3.965644515282E-24, -1.000000000000E+03,  9.978438982614E-01, -5.536165431142E-24,  6.563196403104E-02, -3.554966859318E-23, -3.042653090421E-20, -9.086019165449E+00,  0.000000000000E+00,  7.018200235651E-02,  0.000000000000E+00,  5.188748925507E-13,  0.000000000000E+00,  6.034640163215E-14, -3.042653090421E-20, -9.086019165449E+00,  0.000000000000E+00,  7.018200235700E-02 
                F16,  7.000000000000E-02,  1.000000000000E-02,  3.469847117082E+02,  4.253924375464E-20,  4.584331838749E+01, -5.510470313060E-22, -1.068958545083E-16, -6.615413150206E-21,  2.450000000000E+01, -8.245588443426E-24, -1.000000000000E+03,  9.978438982614E-01, -9.564150056316E-24,  6.563196403104E-02, -6.233863412132E-23, -4.557185497294E-20, -9.086019165449E+00,  0.000000000000E+00,  7.018200235651E-02,  0.000000000000E+00,  5.036593637916E-13,  0.000000000000E+00,  6.935612694385E-14, -4.557185497294E-20, -9.086019165449E+00,  0.000000000000E+00,  7.018200235700E-02 
                F16,  8.000000000000E-02,  1.000000000000E-02,  3.469847117082E+02,  6.987194816577E-20,  4.584331838749E+01, -7.842549795065E-22, -1.377479099501E-16, -9.667930390727E-21,  2.800000000000E+01, -1.573827215469E-23, -1.000000000000E+03,  9.978438982614E-01, -1.550275162890E-23,  6.563196403104E-02, -1.024264768586E-22, -6.501607934727E-20, -9.086019165449E+00,  0.000000000000E+00,  7.018200235651E-02,  0.000000000000E+00,  4.755159433479E-13,  0.000000000000E+00,  7.808408684827E-14, -6.501607934727E-20, -9.086019165449E+00,  0.000000000000E+00,  7.018200235700E-02 
                F16,  9.000000000000E-02,  1.000000000000E-02,  3.469847117082E+02,  1.088624683897E-19,  4.584331838749E+01, -1.070415472873E-21, -1.728366912483E-16, -1.353160044921E-20,  3.150000000000E+01, -2.809741339446E-23, -1.000000000000E+03,  9.978438982614E-01, -2.386033375724E-23,  6.563196403104E-02, -1.596367891991E-22, -8.896294953622E-20, -9.086019165449E+00,  0.000000000000E+00,  7.018200235651E-02,  0.000000000000E+00,  4.412902507470E-13,  0.000000000000E+00,  8.653686561603E-14, -8.896294953622E-20, -9.086019165449E+00,  0.000000000000E+00,  7.018200235700E-02 
