parameter,independent_variables,1
time,p,q,r
0.0,0.0,0.0,0.0 
0.99999,0.0,0.0,0.0
1.0,0.87266462599716500, 0.0, 0.0
1.999999,0.87266462599716500, 0.0, 0.0
2.0,-0.87266462599716500, 0.0, 0.0
2.999999,-0.87266462599716500, 0.0, 0.0
3.0,0.0, 0.0, 0.0
10.0,0.0,0.0,0.0
