           1 ,   2.8680173166584890E-003
           2 ,   2.8452083580451301E-003
           3 ,   2.8498972475674371E-003
           4 ,   2.8617029718078714E-003
           5 ,   2.8358235828037665E-003
           6 ,   2.8224710211668734E-003
           7 ,   2.8519609794146060E-003
           8 ,   2.8843517687213733E-003
           9 ,   2.8199935182561687E-003
          10 ,   2.8267200963954311E-003
          11 ,   2.8043473525435811E-003
          12 ,   2.8195720595306012E-003
          13 ,   2.8158595543421715E-003
          14 ,   2.8191053996623780E-003
          15 ,   2.8357573595656541E-003
          16 ,   2.8300813451645579E-003
          17 ,   2.8159421965470713E-003
          18 ,   2.8462863530000471E-003
          19 ,   2.8500182643537699E-003
          20 ,   2.8354975239960234E-003
          21 ,   2.8438856442942590E-003
          22 ,   2.8609369265397509E-003
          23 ,   2.8621379329709421E-003
          24 ,   2.8657299002150132E-003
          25 ,   2.8428679639426733E-003
          26 ,   2.8360037774471441E-003
          27 ,   2.8366989308675691E-003
          28 ,   2.8430873668462238E-003
          29 ,   2.8012757458144885E-003
          30 ,   2.8421305210288086E-003
          31 ,   2.8150609268317028E-003
          32 ,   2.8261125703162603E-003
          33 ,   2.8097698551330483E-003
          34 ,   2.8399502757535883E-003
          35 ,   2.8195712960829406E-003
          36 ,   2.8292734751987269E-003
          37 ,   2.8271450977093615E-003
          38 ,   2.8803136771083132E-003
          39 ,   2.8758094544702631E-003
          40 ,   2.8106211386281521E-003
          41 ,   2.8418619655328973E-003
          42 ,   2.8425999391863016E-003
          43 ,   2.8128550068942781E-003
          44 ,   2.8186296684662607E-003
          45 ,   2.8258716157737018E-003
          46 ,   2.8645507562139825E-003
          47 ,   2.8507166144886077E-003
          48 ,   2.8161385088947824E-003
          49 ,   2.8366202057659522E-003
          50 ,   2.8581180761776243E-003
          51 ,   2.8339315483746209E-003
          52 ,   2.8234111881298707E-003
          53 ,   2.8461027323933271E-003
          54 ,   2.8572555598882238E-003
          55 ,   2.8154747811871285E-003
          56 ,   2.8299691016589884E-003
          57 ,   2.8616611977901971E-003
          58 ,   2.7942746692521270E-003
          59 ,   2.8458944954337247E-003
          60 ,   2.8668903084361993E-003
          61 ,   2.8477149838381610E-003
          62 ,   2.8302094285519055E-003
          63 ,   2.8229940844611795E-003
          64 ,   2.8241632987313628E-003
          65 ,   2.8312241430014746E-003
          66 ,   2.8472578732016297E-003
          67 ,   2.8481849611235906E-003
          68 ,   2.8491623503982726E-003
          69 ,   2.8415664821378156E-003
          70 ,   2.8430202499810926E-003
          71 ,   2.8638202257340842E-003
          72 ,   2.8209017203348770E-003
          73 ,   2.8094608348822885E-003
          74 ,   2.8267616256966331E-003
          75 ,   2.8307360250111888E-003
          76 ,   2.8446090497030521E-003
          77 ,   2.8862770886996869E-003
          78 ,   2.8075421553281012E-003
          79 ,   2.8669859565364068E-003
          80 ,   2.8387849978069291E-003
          81 ,   2.8444243723740551E-003
          82 ,   2.8440878796437406E-003
          83 ,   2.9001992822634453E-003
          84 ,   2.8283758564661729E-003
          85 ,   2.8700343527500788E-003
          86 ,   2.8493653034536381E-003
          87 ,   2.8511491482681194E-003
          88 ,   2.8282247654813249E-003
          89 ,   2.8645249025814356E-003
          90 ,   2.8607339990690712E-003
          91 ,   2.8422903167348752E-003
          92 ,   2.8617714245595190E-003
          93 ,   2.8068530054115139E-003
          94 ,   2.8475726216537550E-003
          95 ,   2.8300190766161861E-003
          96 ,   2.8620161069305250E-003
          97 ,   2.8547206266704072E-003
          98 ,   2.8295605917300817E-003
          99 ,   2.8408918431789632E-003
         100 ,   2.8363716017271549E-003
