parameter,independent_variables,1
alpha[deg],Cy_pbar,Cl_pbar,Cn_pbar
-20,-0.1077,-0.36,0.0609
-15,-0.1077,-0.36,0.0609
-10,-0.1077,-0.36,0.0609
-5,-0.108,-0.359,0.0515
0,-0.1915,-0.445,0.0535
5,0.128,-0.414,-0.0085
10,0.189,-0.35,0.0119
15,0.182,-0.301,0.0192
20,0.419,-0.302,0.0206
25,0.468,-0.35,0.1517
30,0.534,-0.312,0.1884
35,-0.113,0.152,0.369
40,0.043,0.074,0.632
45,-2.398,-0.003,0.346
