parameter,independent_variables,2
alpha[deg],beta[deg],Cx_lef,Cy_lef,Cz_lef,Cl_lef,Cm_lef,Cn_lef
-5,25,-0.095111,0.0268144,0.0664631,-0.0126051,-0.0132926,-0.00664631
-5,30,-0.0845686,0.0217724,0.0825059,0.00252101,-0.0582125,0.00458366
0,-30,-0.0501911,-0.0171887,0.13751,-0.0185638,-0.0634837,0.000458366
0,-25,-0.0531705,-0.0126051,0.123759,-0.00962569,-0.0490452,0.00297938
0,-20,-0.0598168,0.00802141,0.0916732,-0.00572958,-0.0825059,0.00114592
0,-15,-0.0641713,0.00802141,0.126051,0.000687549,-0.0937359,0.00343775
0,-10,-0.0646296,-0.00229183,0.155845,0.00389611,-0.0919024,0.00160428
0,-8,-0.0648588,-0.00664631,0.146677,0.00435448,-0.0928192,0.000458366
0,-6,-0.0657756,0.00504203,0.181055,0.0027502,-0.0809016,-0.000916732
0,-4,-0.0664631,-0.000687549,0.165012,0.00252101,-0.078839,-0.000687549
0,-2,-0.0660047,-0.000687549,0.165012,0.000916732,-0.0765472,-0.000916732
0,0,-0.0657756,0,0.171887,0,-0.0758596,0
0,2,-0.0657756,-0.00458366,0.167304,-0.000687549,-0.0765472,-0.00114592
0,4,-0.0657756,0.0027502,0.174179,-0.00206265,-0.0765472,-0.00183346
0,6,-0.0657756,0.00733386,0.171887,-0.00297938,-0.0751721,-0.00206265
0,8,-0.0634837,0.00870896,0.167304,-0.00297938,-0.0802141,-0.00366693
0,10,-0.062567,0.00550039,0.165012,-0.0041253,-0.0804433,-0.00343775
0,15,-0.0584417,-0.000458366,0.135218,-0.000916732,-0.0834227,-0.00366693
0,20,-0.0540872,-0.00160428,0.126051,0.00550039,-0.0792974,-0.00297938
0,25,-0.0492744,0.0169596,0.121467,0.00939651,-0.0520246,-0.00550039
0,30,-0.0444615,0.00595876,0.142094,0.0183346,-0.0533997,-0.00252101
5,-30,0.00389611,0.0336899,0.0962569,-0.0165012,-0.0323148,-0.00527121
5,-25,0.00229183,0.0336899,0.0733386,-0.0123759,-0.0843394,-0.00893814
5,-20,0.00297938,0.00618794,0.103132,-0.0130634,-0.0792974,-0.00595876
5,-15,0.00206265,0.00618794,0.123759,-0.00985487,-0.0802141,-0.00320856
5,-10,-0.00733386,-0.00320856,0.139802,-0.00664631,-0.0829643,-0.00114592
5,-8,-0.00825059,-0.00527121,0.121467,-0.00504203,-0.0822767,-0.00114592
5,-6,-0.00733386,-0.00939651,0.126051,-0.00389611,-0.0834227,-0.000458366
5,-4,-0.00641713,-0.00183346,0.121467,-0.00252101,-0.0831935,-0.00114592
5,-2,-0.00870896,-0.0144385,0.128343,-0.0013751,-0.0852561,-0.000687549
5,0,-0.00756304,0,0.139802,0,-0.0847978,0
5,2,-0.00893814,-0.00710468,0.121467,0.0027502,-0.0841102,-0.000229183
5,4,-0.00847978,-0.00779223,0.128343,0.00435448,-0.086402,-0.000229183
5,6,-0.00825059,-0.0100841,0.123759,0.00527121,-0.086402,0.000458366
5,8,-0.00710468,-0.00366693,0.121467,0.00756304,-0.0859437,-0.000229183
5,10,-0.00710468,-0.00527121,0.119175,0.00939651,-0.0854853,-0.000458366
5,15,7.95E-18,-0.00893814,0.0962569,0.0123759,-0.0831935,0.00114592
5,20,0.00183346,-0.0151261,0.0802141,0.0153553,-0.0797557,0.00343775
5,25,0.000458366,-0.0132926,0.0389611,0.0146677,-0.0760888,0.00847978
5,30,3.98E-18,-0.0041253,0.0687549,0.018793,-0.0733386,0.00229183
10,-30,0.0627962,0.0281895,0.0435448,0.00572958,-0.051337,-0.0126051
10,-25,0.0886939,-0.00160428,-0.00229183,0.0107716,-0.0577541,-0.000229183
10,-20,0.0783806,-0.0176471,0.0206265,0.0151261,-0.0673798,0.00297938
10,-15,0.0845686,-0.0176471,-0.00458366,0.0171887,-0.0834227,0.0027502
10,-10,0.0852561,-0.0146677,0.0206265,0.0148969,-0.0843394,0.00183346
10,-8,0.0877771,-0.00779223,0.0870896,0.0132926,-0.0850269,0.000229183
10,-6,0.086402,-0.0128343,0.0802141,0.0119175,-0.0859437,0.000687549
10,-4,0.0893814,-0.00825059,0.0756304,0.00893814,-0.0916732,0.00183346
10,-2,0.090069,-0.00572958,0.0572958,0.00229183,-0.0941943,0.000458366
10,0,0.0896106,0,0.0550039,0,-0.0964861,0
10,2,0.0902981,-0.00114592,0.0458366,-0.00389611,-0.0987779,-0.000229183
10,4,0.0902981,-0.0027502,0.0481285,-0.00504203,-0.0992363,-0.000687549
10,6,0.0891522,0.00550039,0.0389611,-0.00733386,-0.101299,-0.000687549
10,8,0.0868604,-0.000916732,0.041253,-0.00893814,-0.10107,0.000458366
10,10,0.0861729,-0.0041253,0.0481285,-0.0100841,-0.0946526,0.000458366
10,15,0.0854853,-0.00183346,0.013751,-0.0132926,-0.0939651,0
10,20,0.0792974,0.0013751,0.041253,-0.00985487,-0.0758596,-0.000687549
10,25,0.0731094,-0.0174179,0.0435448,-0.00572958,-0.0671507,0.00297938
10,30,0.0637129,-0.0444615,0.0756304,-0.000687549,-0.0582125,0.0160428
15,-30,0.145531,0.107487,0.0641713,0.0618794,0.0027502,-0.041253
15,-25,0.155157,-0.0483576,0.0435448,0.0497327,-0.0419405,0.0178763
15,-20,0.168679,-0.0850269,0.0870896,0.0430864,-0.0584417,0.0265852
15,-15,0.174408,-0.043774,0.0802141,0.0352942,-0.090069,0.00825059
15,-10,0.184034,-0.0426281,0.0664631,0.0311689,-0.122842,0.00893814
15,-8,0.18793,-0.0236059,0.0618794,0.0265852,-0.123759,0.00343775
15,-6,0.190451,-0.0226891,0.0215432,0.0233767,-0.129947,0.00252101
15,-4,0.192743,-0.0151261,0.0916732,0.0169596,-0.140718,0.00320856
15,-2,0.194118,-0.0181055,0.0710468,0.00870896,-0.151719,0.00160428
15,0,0.194347,0,0.0618794,0,-0.167304,0
15,2,0.195264,-0.00343775,0.0527121,-0.00733386,-0.169137,0.00183346
15,4,0.193889,0.00320856,0.0229183,-0.0148969,-0.163178,-0.000458366
15,6,0.191597,-0.0013751,0.013751,-0.0222308,-0.142323,0.00252101
15,8,0.190222,-0.0013751,0.0206265,-0.0277312,-0.129947,0.00206265
15,10,0.184722,0.00916732,0.0366693,-0.0288771,-0.124905,-0.00297938
15,15,0.175096,0.0119175,0.041253,-0.0453783,-0.0916732,0.00183346
15,20,0.169366,0.0589001,0.0458366,-0.0515662,-0.0561499,-0.0206265
15,25,0.155845,0.0181055,0.013751,-0.0577541,-0.0433156,-0.0116883
15,30,0.146219,-0.137739,0.0320856,-0.0694425,0.00183346,0.0469825
20,-30,0.233308,0.236746,-0.0206265,0.095111,0.086402,-0.0744845
20,-25,0.244309,0.202369,-0.0733386,0.110008,0.0323148,-0.0687549
20,-20,0.232392,0.0992363,-0.119175,0.0921316,0.00504203,-0.0268144
20,-15,0.225516,0.0602752,-0.0595876,0.0847978,0.00366693,-0.0208557
20,-10,0.237205,0.0545456,-0.0710468,0.067609,-0.0389611,-0.0210848
20,-8,0.243622,0.0572958,-0.105424,0.048816,-0.0515662,-0.0201681
20,-6,0.246372,0.0451491,-0.135218,0.040107,-0.0511078,-0.0236059
20,-4,0.247059,0.0258977,-0.181055,0.0258977,-0.0524829,-0.0100841
20,-2,0.24133,0.0114592,-0.148969,0.016272,-0.0449199,-0.00618794
20,0,0.243392,0,-0.144385,0,-0.0414821,0
20,2,0.243163,0.0148969,-0.0847978,-0.00572958,-0.0430864,-0.0027502
