parameter,independent_variables,2
alpha[deg],beta[deg],Cy_aileron_lef,Cl_aileron_lef,Cn_aileron_lef
10,30,0.0413634,-0.00459593,-0.0242928
15,-30,0.0131312,-0.0347977,0.00787874
15,-25,0.0787874,-0.00919186,-0.0453027
15,-20,0.0787874,-0.00919186,-0.0420199
15,-15,0.0656561,-0.00787874,-0.0367674
15,-10,0.0997973,-0.0380806,-0.0512118
15,-8,0.0216665,-0.043333,-0.0347977
15,-6,0.0400502,-0.0400502,-0.0682824
15,-4,0.0118181,-0.0498987,-0.0308584
15,-2,0.0498987,-0.0466159,-0.0256059
15,0,-0.00328281,-0.0361109,-0.0190403
15,2,0.0157575,-0.0426765,-0.0229796
15,4,-0.00722217,-0.0492421,-0.00590905
15,6,-0.0151009,-0.0380806,-0.00787874
15,8,0.0137878,-0.0170706,-0.0177272
15,10,-0.0315149,-0.0262625,4.56E-17
15,15,-0.010505,-0.0242928,-0.0242928
15,20,-0.0446462,-0.0223231,-0.00919186
15,25,-0.0308584,-0.0256059,-0.00459593
15,30,0.0702521,-0.00328281,-0.0426765
20,-30,-0.0459593,-0.282978,0.0124747
20,-25,-0.0328281,-0.273786,0.0157575
20,-20,0.0984842,-0.230453,-0.0551511
20,-15,0.0787874,-0.182524,-0.0170706
20,-10,0.00525249,-0.0906055,0.00459593
20,-8,-0.0781308,-0.0820702,0.0341412
20,-6,-0.0380806,-0.0958579,0.0472724
20,-4,-0.010505,-0.0833833,0.0256059
20,-2,-0.043333,-0.0899489,0.0354543
20,0,-0.00722217,-0.0794439,0.0177272
20,2,0.00919186,-0.0932317,0.0151009
20,4,-0.00656561,-0.0886358,0.0170706
20,6,0.0203534,-0.103737,0.0216665
20,8,-0.00525249,-0.0860095,0.0223231
20,10,0.0131312,-0.0952014,0.0177272
20,15,-0.0761611,0.000656561,0.0380806
20,20,-0.0892923,0.0426765,0.0774742
20,25,0.0663127,0.0860095,0.00525249
20,30,0.0925751,0.0997973,0.00590905
25,-30,-0.10505,-0.108989,0.133282
25,-25,-0.0262625,-0.130656,0.0328281
25,-20,-0.0722217,-0.0892923,0.0196968
25,-15,-0.0919186,-0.037424,0.0137878
25,-10,-0.0761611,-0.0663127,0.0610602
25,-8,-0.0347977,-0.0938883,0.0453027
25,-6,-0.0111615,-0.0649996,0.0393937
25,-4,-0.00722217,-0.0787874,0.0361109
25,-2,-0.0216665,-0.0735349,0.0315149
25,0,0.0151009,-0.074848,0.0334846
25,2,0.0124747,-0.0820702,0.0282321
25,4,0.0295453,-0.0860095,0.02101
25,6,-0.0249493,-0.0827267,0.0262625
25,8,0.00393937,-0.0669692,0.0157575
25,10,-0.0249493,-0.10308,0.0249493
25,15,-0.016414,-0.130656,0.0682824
25,20,-0.0498987,-0.130656,0.0676258
25,25,-0.0971711,-0.0925751,0.0544946
25,30,-0.0308584,-0.0459593,-0.053838
30,-30,0.00525249,-0.0407068,0.0111615
30,-25,-0.0190403,-0.0735349,0.00328281
30,-20,-0.0630299,-0.0801005,0.0216665
30,-15,0,-0.010505,-0.0144443
30,-10,0.0124747,-0.0604036,0.0183837
30,-8,-0.00919186,-0.0919186,0.0288887
