parameter,independent_variables,1
alpha[deg],Cy_rbar,Cl_rbar,Cn_rbar
-20,0.882,-0.126,-0.38
-15,0.882,-0.126,-0.38
-10,0.882,-0.126,-0.38
-5,0.852,-0.026,-0.363
0,0.874,0.0641,-0.377
5,0.966,0.124,-0.381
10,0.914,0.212,-0.366
15,0.935,0.286,-0.441
20,1.15,0.52,-0.653
25,0.698,0.443,-0.68
30,1.02,0.612,-0.905
35,1.15,-0.437,-1.074
40,-0.867,-0.34,-0.853
45,-1.227,-0.724,-0.756
