parameter,independent_variables,2
alpha[deg],beta[deg],Cy_aileron,Cl_aileron,Cn_aileron
10,25,-0.0240642,-0.116883,0.0120321
10,30,0.0117456,-0.118889,-0.00229183
15,-30,0.160428,-0.148969,-0.047842
15,-25,0.163293,-0.148683,-0.0418259
15,-20,0.148969,-0.143812,-0.0389611
15,-15,0.0888085,-0.142666,-0.0169023
15,-10,0.0572958,-0.126624,-0.0054431
15,-8,0.0802141,-0.121754,-0.0177617
15,-6,0.0701873,-0.12204,-0.0180482
15,-4,0.0882355,-0.121181,-0.0189076
15,-2,0.0584417,-0.120035,-0.0128916
15,0,0.0650307,-0.124905,-0.0105997
15,2,0.0633118,-0.120894,-0.00888085
15,4,0.0793547,-0.1123,-0.0180482
15,6,0.0779223,-0.110581,-0.020913
15,8,0.0784952,-0.110008,-0.0217724
15,10,0.0830789,-0.110008,-0.0217724
15,15,0.0552904,-0.109148,-0.00572958
15,20,0.000572958,-0.110294,0.0117456
15,25,-0.0177617,-0.104565,0.013751
15,30,-0.00802141,-0.103419,0.013751
20,-30,0.0458366,-0.1123,-0.00143239
20,-25,0.111727,-0.1017,-0.026929
20,-20,0.13751,-0.0873761,-0.0375287
20,-15,0.128916,-0.0687549,-0.0358099
20,-10,0.074771,-0.0833654,-0.0163293
20,-8,0.0825059,-0.08136,-0.0169023
20,-6,0.074771,-0.075344,-0.0260696
20,-4,0.0618794,-0.0784952,-0.013751
20,-2,0.0613065,-0.075344,-0.0117456
20,0,0.0550039,-0.0850842,-0.00744845
20,2,0.0535716,-0.0830789,-0.00744845
20,4,0.060447,-0.0847978,-0.0120321
20,6,0.0621659,-0.0750575,-0.0183346
20,8,0.0727656,-0.0830789,-0.0180482
20,10,0.0558634,-0.0802141,-0.0143239
20,15,0.00916732,-0.095684,0.00572958
20,20,-0.00487014,-0.0744845,0.00658901
20,25,0.0166158,-0.060447,-0.00315127
20,30,0.0845113,-0.0518527,-0.0280749
25,-30,0.0429718,-0.120321,-0.00802141
25,-25,0.00859437,-0.0933921,0.0128916
25,-20,0.0916732,-0.0830789,-0.00229183
25,-15,0.0974028,-0.0916732,-0.0100268
25,-10,0.0509932,-0.0719062,-0.00802141
25,-8,0.040107,-0.0590147,-0.00315127
25,-6,0.0429718,-0.0739116,-0.00286479
25,-4,0.0570093,-0.074771,-0.00572958
25,-2,0.0458366,-0.0727656,-0.00200535
25,0,0.0338045,-0.0739116,-0.00171887
25,2,0.0423989,-0.0701873,-0.00114592
25,4,0.0409665,-0.068182,-0.0040107
25,6,0.0664631,-0.0661766,-0.00802141
25,8,0.0495608,-0.0721927,-0.00658901
25,10,0.0444042,-0.0575823,-0.0054431
25,15,-0.000286479,-0.0386747,-0.00286479
25,20,0.0117456,-0.0240642,-0.0120321
25,25,0.0936786,-0.0126051,-0.026929
25,30,0.0581552,-0.0169023,-0.00286479
30,-30,0.00859437,-0.101986,0.027502
30,-25,0.0200535,-0.0899544,0.0240642
30,-20,0.0286479,-0.075344,0.0234913
30,-15,0.0200535,-0.0581552,0.0154699
30,-10,0.0114592,-0.0487014,0.00372423
30,-8,0.0217724,-0.0446907,0.0054431
30,-6,0.0111727,-0.0667496,0.0117456
30,-4,0.0157563,-0.0647442,0.0123186
30,-2,0.0280749,-0.0776358,0.0146104
30,0,0.0326586,-0.0635983,0.0123186
30,2,0.0464096,-0.0727656,0.00773493
30,4,0.0223454,-0.074771,0.0094538
30,6,0.019767,-0.0716197,0.0111727
30,8,0.0243507,-0.0678955,0.013178
30,10,0.0415394,-0.054431,0.0103132
30,15,0.0326586,-0.0464096,0.0040107
30,20,0.0303668,-0.0286479,-0.0094538
30,25,0.033518,-0.0140375,-0.00916732
30,30,0.0535716,-0.00114592,-0.0140375
35,-30,0.157563,-0.0678955,0.0214859
35,-25,0.0830789,-0.0661766,0.0435448
35,-20,-0.0315127,-0.0558634,0.019767
35,-15,-0.040107,-0.0515662,0.0303668
35,-10,-0.0501338,-0.040107,0.0232048
35,-8,-0.00773493,-0.0466961,0.0120321
35,-6,0.00601606,-0.047269,0.013751
35,-4,0.0140375,-0.0507068,0.00859437
35,-2,0.0189076,-0.0575823,0.0169023
35,0,0.0320856,-0.0584417,0.0194806
35,2,0.00601606,-0.0733386,0.0263561
35,4,0.0303668,-0.0578687,0.0249237
35,6,0.00859437,-0.0635983,0.026929
35,8,0.0237777,-0.0630254,0.0194806
35,10,0.00315127,-0.0584417,0.0151834
35,15,-0.00343775,-0.047842,0.00716197
35,20,-0.00802141,-0.0429718,0.0189076
35,25,0.0295073,-0.0326586,-0.0054431
35,30,-0.0415394,-0.0306532,0.0143239
40,-30,0.0143239,-0.0521392,-0.0323721
40,-25,-0.0572958,-0.0438313,0.0303668
40,-20,-0.0343775,-0.0529986,0.0366693
40,-15,-0.0229183,-0.0426854,0.0403935
40,-10,-0.053858,-0.0355234,0.0211994
40,-8,-0.0561499,-0.0280749,0.0177617
40,-6,-0.0240642,-0.0481285,0.020913
40,-4,-0.0756304,-0.0237777,0.0151834
40,-2,-0.0240642,-0.0292208,0.0177617
40,0,-0.0289344,-0.0409665,0.0177617
40,2,-0.00630254,-0.0246372,0.0123186
40,4,-0.0194806,-0.0421124,0.0163293
40,6,0.00343775,-0.0449772,0.0143239
40,8,0,-0.0564363,0.0300803
40,10,-0.00744845,-0.0461231,0.0312262
40,15,-0.0358099,-0.0389611,0.013178
40,20,-0.02034,-0.0283614,0.0183346
40,25,0.00487014,-0.0383882,0.0243507
