parameter,independent_variables,1
alpha[deg],Cl_beta,Cn_beta
-20,0,0
-15,0,0
-10,0,0
-5,0,0
0,0,0
5,0,0
10,0,0
15,0.040107,0
20,0.0286479,0
25,0.0171887,-0.0458366
30,0,0.0572958
35,0,0
40,0,0
45,0,0
50,0,0
55,0,0
60,0,0
70,0,0
80,0,0
90,0,0
