parameter,independent_variables,3
elevator[deg],alpha[deg],beta[deg],Cx,Cy,Cz,Cl,Cm,Cn
-10,0,2,-0.0324,-0.0374,-0.011,-0.0029,0.0754,0.00636
-10,0,4,-0.0316,-0.0776,-0.015,-0.00612,0.0764,0.01378
-10,0,6,-0.0308,-0.1223,-0.017,-0.00968,0.0698,0.02272
-10,0,8,-0.03,-0.1712,-0.02,-0.01356,0.073,0.03312
-10,0,10,-0.0288,-0.2158,-0.025,-0.0166,0.0729,0.04206
-10,0,15,-0.0272,-0.3196,-0.024,-0.02076,0.0794,0.05822
-10,0,20,-0.0279,-0.4308,-0.006,-0.02456,0.0796,0.0743
-10,0,25,-0.0277,-0.5443,-0.009,-0.02664,0.0797,0.09288
-10,0,30,-0.0272,-0.6426,0.014,-0.0282,0.0733,0.10576
-10,5,-30,-0.0135,0.6397,-0.234,0.04188,0.0661,-0.1039
-10,5,-25,-0.0116,0.5367,-0.264,0.0373,0.0788,-0.08402
-10,5,-20,-0.0109,0.4267,-0.307,0.03662,0.0846,-0.07028
-10,5,-15,-0.0111,0.3097,-0.333,0.0319,0.088,-0.05466
-10,5,-10,-0.011,0.2042,-0.341,0.02564,0.0902,-0.03848
-10,5,-8,-0.0112,0.163,-0.337,0.0208,0.0889,-0.03044
-10,5,-6,-0.0123,0.1174,-0.336,0.0153,0.0904,-0.02114
-10,5,-4,-0.0133,0.0775,-0.34,0.01028,0.0893,-0.01304
-10,5,-2,-0.0139,0.0394,-0.343,0.00514,0.0892,-0.00554
-10,5,0,-0.0139,0,-0.348,0,0.0871,0
-10,5,2,-0.0139,-0.0352,-0.342,-0.0053,0.0887,0.006
-10,5,4,-0.013,-0.0785,-0.347,-0.01052,0.0887,0.01426
-10,5,6,-0.012,-0.1189,-0.343,-0.01538,0.0887,0.02206
-10,5,8,-0.011,-0.1689,-0.344,-0.0212,0.0885,0.03224
-10,5,10,-0.0102,-0.215,-0.345,-0.02584,0.0883,0.04078
-10,5,15,-0.0093,-0.3218,-0.334,-0.03286,0.0873,0.05726
-10,5,20,-0.0095,-0.4364,-0.31,-0.03754,0.0838,0.07306
-10,5,25,-0.0108,-0.5448,-0.261,-0.0383,0.0762,0.08546
-10,5,30,-0.0127,-0.6496,-0.235,-0.04272,0.084,0.10674
-10,10,-30,-0.0006,0.6132,-0.474,0.05058,0.0504,-0.0926
-10,10,-25,-0.0059,0.5192,-0.521,0.04822,0.0602,-0.07814
-10,10,-20,0.0025,0.4302,-0.584,0.04476,0.0694,-0.06962
-10,10,-15,0.003,0.3142,-0.609,0.03602,0.0764,-0.0544
-10,10,-10,0.004,0.208,-0.633,0.02702,0.0838,-0.04008
-10,10,-8,0.0034,0.1631,-0.67,0.02186,0.0851,-0.03098
-10,10,-6,0.0031,0.1187,-0.676,0.01594,0.0875,-0.02226
-10,10,-4,0.0023,0.0784,-0.68,0.01032,0.09,-0.01456
-10,10,-2,0.0013,0.037,-0.675,0.00504,0.0921,-0.00608
-10,10,0,0.0008,0,-0.674,0,0.0974,0
-10,10,2,0.0005,-0.0378,-0.671,-0.00492,0.0951,0.00604
-10,10,4,0.0015,-0.0774,-0.667,-0.01174,0.0963,0.01436
-10,10,6,0.0026,-0.1228,-0.659,-0.01798,0.0962,0.0237
-10,10,8,0.0035,-0.1664,-0.656,-0.02334,0.0961,0.03208
-10,10,10,0.0036,-0.2153,-0.656,-0.02864,0.0923,0.04106
-10,10,15,0.0026,-0.3196,-0.628,-0.03716,0.084,0.05522
-10,10,20,0.0021,-0.4353,-0.605,-0.0461,0.0751,0.07064
-10,10,25,0.0009,-0.5237,-0.543,-0.0494,0.0673,0.07916
-10,10,30,-0.001,-0.6177,-0.496,-0.05176,0.0554,0.09342
-10,15,-30,0.01,0.5416,-0.742,0.0464,0.0418,-0.06976
-10,15,-25,0.0123,0.4876,-0.803,0.04584,0.0583,-0.06804
-10,15,-20,0.0151,0.4126,-0.884,0.04464,0.0785,-0.06282
-10,15,-15,0.0173,0.3066,-0.933,0.04176,0.0993,-0.05226
-10,15,-10,0.018,0.2023,-0.962,0.02994,0.1166,-0.03996
-10,15,-8,0.0186,0.1576,-0.976,0.02426,0.117,-0.03024
-10,15,-6,0.0193,0.1168,-0.9764,0.01712,0.1237,-0.02142
-10,15,-4,0.0193,0.0718,-1.016,0.01122,0.1304,-0.01322
-10,15,-2,0.0186,0.0377,-1.008,0.00524,0.1382,-0.00562
-10,15,0,0.0179,0,-1.007,0,0.1436,0
-10,15,2,0.0179,-0.0368,-1.003,-0.00556,0.1448,0.00518
-10,15,4,0.0181,-0.0784,-0.988,-0.0121,0.1412,0.01382
-10,15,6,0.0182,-0.1194,-0.983,-0.01878,0.1321,0.0224
-10,15,8,0.0178,-0.1636,-0.972,-0.02472,0.1247,0.0313
-10,15,10,0.0177,-0.2096,-0.967,-0.03052,0.1175,0.04042
-10,15,15,0.017,-0.3143,-0.941,-0.03694,0.099,0.05086
-10,15,20,0.0148,-0.4223,-0.884,-0.03998,0.0775,0.06332
-10,15,25,0.012,-0.4947,-0.796,-0.04146,0.0589,0.0683
-10,15,30,0.0097,-0.5499,-0.731,-0.04198,0.0412,0.06626
-10,20,-30,0.0204,0.475,-0.996,0.04264,-0.0107,-0.03562
-10,20,-25,0.0209,0.375,-1.056,0.02922,0.0109,-0.0197
-10,20,-20,0.0244,0.295,-1.109,0.02748,0.0378,-0.0173
-10,20,-15,0.0265,0.23,-1.197,0.01978,0.0484,-0.0212
-10,20,-10,0.0291,0.1576,-1.232,0.01584,0.074,-0.01964
-10,20,-8,0.0284,0.1254,-1.238,0.01502,0.0785,-0.01556
-10,20,-6,0.0275,0.0919,-1.24,0.01006,0.0803,-0.00648
-10,20,-4,0.0271,0.059,-1.227,0.00636,0.0829,-0.00524
-10,20,-2,0.0272,0.0282,-1.237,0.00118,0.0846,-0.00142
-10,20,0,0.026,0,-1.243,0,0.0855,0
-10,20,2,0.0271,-0.0313,-1.255,-0.00664,0.0878,0.0014
-10,20,4,0.028,-0.067,-1.26,-0.01182,0.089,0.00682
-10,20,6,0.0289,-0.1023,-1.254,-0.01838,0.0892,0.01378
-10,20,8,0.0306,-0.1374,-1.262,-0.01846,0.0902,0.01982
-10,20,10,0.0315,-0.171,-1.283,-0.02062,0.0802,0.02446
-10,20,15,0.0289,-0.2452,-1.249,-0.02392,0.0579,0.02588
-10,20,20,0.0268,-0.3089,-1.154,-0.0319,0.0458,0.02218
-10,20,25,0.0251,-0.3869,-1.099,-0.0334,0.0184,0.02454
-10,20,30,0.0228,-0.488,-1.049,-0.04646,-0.0032,0.04022
-10,25,-30,0.0245,0.4878,-1.252,0.07414,-0.035,-0.0326
-10,25,-25,0.0279,0.3708,-1.345,0.05442,-0.0275,-0.0184
-10,25,-20,0.0264,0.2508,-1.4,0.03558,0.0062,0.0007
-10,25,-15,0.0285,0.1578,-1.44,0.02118,0.0273,0.01034
-10,25,-10,0.0333,0.1176,-1.498,0.02318,0.0344,-0.0025
-10,25,-8,0.0358,0.1174,-1.529,0.0205,0.0371,-0.00648
-10,25,-6,0.0371,0.0893,-1.561,0.01778,0.0403,-0.00382
-10,25,-4,0.0381,0.0585,-1.582,0.01176,0.0422,-0.0015
-10,25,-2,0.0378,0.0286,-1.582,0.00638,0.0453,-0.00068
-10,25,0,0.0385,0,-1.586,0,0.0544,0
-10,25,2,0.0382,-0.0301,-1.579,-0.00608,0.049,0
-10,25,4,0.0378,-0.0566,-1.578,-0.01316,0.0497,0.00216
-10,25,6,0.0374,-0.0925,-1.558,-0.0185,0.0436,0.00442
-10,25,8,0.0356,-0.1126,-1.537,-0.01928,0.0406,0.00444
-10,25,10,0.0359,-0.1321,-1.52,-0.02632,0.038,-0.00064
-10,25,15,0.031,-0.1714,-1.462,-0.02428,0.0276,-0.01356
-10,25,20,0.029,-0.2647,-1.418,-0.03852,0.0077,-0.004
-10,25,25,0.0305,-0.385,-1.36,-0.05844,-0.0263,0.01502
-10,25,30,0.0271,-0.5025,-1.275,-0.0724,-0.0343,0.0293
-10,30,-30,0.0207,0.3436,-1.394,0.07212,0.0465,-0.01858
-10,30,-25,0.0237,0.3226,-1.393,0.06016,-0.0157,0.00142
-10,30,-20,0.0244,0.2286,-1.457,0.03748,-0.0157,0.01968
-10,30,-15,0.028,0.1396,-1.545,0.02218,-0.0063,0.02858
-10,30,-10,0.0317,0.0825,-1.611,0.00904,0.0107,0.02792
-10,30,-8,0.0368,0.0801,-1.662,0.01182,0.0025,0.01556
-10,30,-6,0.0394,0.0757,-1.697,0.01316,0.0048,0.00806
-10,30,-4,0.041,0.0549,-1.73,0.00912,0.0077,0.00718
-10,30,-2,0.0411,0.0287,-1.738,0.0083,0.0079,0.00352
-10,30,0,0.0416,0,-1.738,0,0.0116,0
-10,30,2,0.0424,-0.0289,-1.748,-0.00666,0.0125,-0.00372
-10,30,4,0.0421,-0.0527,-1.731,-0.00974,0.0104,-0.00878
-10,30,6,0.0393,-0.0724,-1.698,-0.0108,0.003,-0.01394
-10,30,8,0.0376,-0.0939,-1.693,-0.00966,0.0015,-0.02358
-10,30,10,0.0362,-0.1136,-1.667,-0.01418,-0.005,-0.03144
-10,30,15,0.0315,-0.1694,-1.575,-0.02724,-0.0191,-0.03788
-10,30,20,0.0289,-0.2589,-1.439,-0.04458,-0.0293,-0.02794
-10,30,25,0.0282,-0.3511,-1.452,-0.06534,-0.0311,-0.00396
-10,30,30,0.0252,-0.3742,-1.452,-0.0733,0.0324,0.02068
-10,35,-30,0.0289,0.2437,-1.581,0.04936,0.0582,0.0166
-10,35,-25,0.0324,0.2267,-1.658,0.0447,-0.006,0.04494
-10,35,-20,0.0352,0.1757,-1.756,0.04472,-0.0311,0.0605
-10,35,-15,0.0339,0.1307,-1.809,0.02256,-0.0446,0.06322
-10,35,-10,0.0398,0.0776,-1.878,0.009,-0.034,0.04936
-10,35,-8,0.0419,0.0602,-1.88,0.00494,-0.0335,0.04758
-10,35,-6,0.0463,0.0535,-1.913,0.00502,-0.0351,0.0363
-10,35,-4,0.0476,0.0407,-1.953,0.0024,-0.0305,0.02664
-10,35,-2,0.0493,0.0181,-1.967,-0.00212,-0.025,0.01494
-10,35,0,0.0495,0,-1.967,0,-0.0268,0
-10,35,2,0.0476,-0.0214,-1.933,0.00148,-0.0282,-0.00928
-10,35,4,0.0497,-0.0537,-1.928,-0.00546,-0.0355,-0.014
-10,35,6,0.0482,-0.0808,-1.921,-0.007,-0.0452,-0.02164
-10,35,8,0.0449,-0.1009,-1.89,-0.00582,-0.051,-0.03122
-10,35,10,0.0443,-0.1226,-1.871,-0.00554,-0.0568,-0.04124
-10,35,15,0.0384,-0.1766,-1.798,-0.01962,-0.075,-0.0546
-10,35,20,0.0397,-0.2208,-1.739,-0.0417,-0.0561,-0.0525
-10,35,25,0.0369,-0.2714,-1.649,-0.04164,-0.0319,-0.03622
-10,35,30,0.0334,-0.2901,-1.573,-0.04638,0.0367,-0.0071
-10,40,-30,0.0452,0.1976,-1.639,0.05326,0.0114,0.02972
-10,40,-25,0.0448,0.1776,-1.693,0.04478,-0.0499,0.04022
-10,40,-20,0.0482,0.1566,-1.829,0.03594,-0.0611,0.07098
-10,40,-15,0.0492,0.1286,-1.901,0.0191,-0.0676,0.06686
-10,40,-10,0.0535,0.0906,-1.997,0.01048,-0.0588,0.04718
-10,40,-8,0.0539,0.0737,-2.043,0.01512,-0.0483,0.03628
-10,40,-6,0.0536,0.0593,-1.997,0.01858,-0.0503,0.0248
-10,40,-4,0.0566,0.0505,-2.078,0.00988,-0.0421,0.01772
-10,40,-2,0.0563,0.0188,-2.092,0.01044,-0.0418,0.00714
-10,40,0,0.0574,0,-2.092,0,-0.0465,0
-10,40,2,0.056,-0.0286,-2.042,-0.00748,-0.0583,-0.00508
-10,40,4,0.0551,-0.0516,-2.068,-0.01296,-0.0596,-0.01276
-10,40,6,0.0535,-0.0737,-2.121,-0.01908,-0.0624,-0.01618
-10,40,8,0.0527,-0.0938,-2.003,-0.0215,-0.0821,-0.02672
-10,40,10,0.0508,-0.1132,-2.013,-0.02458,-0.081,-0.03508
-10,40,15,0.0465,-0.1503,-1.922,-0.033,-0.0915,-0.0566
-10,40,20,0.0455,-0.1791,-1.843,-0.04996,-0.0838,-0.0603
-10,40,25,0.0421,-0.1996,-1.704,-0.0588,-0.0713,-0.02948
-10,40,30,0.0425,-0.2195,-1.66,-0.06744,-0.0154,-0.00352
-10,45,-30,0.0546,0.1741,-1.654,0.05176,0.0237,-6.00E-05
-10,45,-25,0.0563,0.1251,-1.79,0.04878,0.0146,-0.00312
-10,45,-20,0.0555,0.1201,-1.844,0.03562,-0.0087,0.02552
-10,45,-15,0.0525,0.1321,-1.925,0.03004,-0.0607,0.0386
-10,45,-10,0.0555,0.111,-1.982,0.0171,-0.0558,0.03052
-10,45,-8,0.0572,0.0854,-2.074,0.01424,-0.0504,0.0235
-10,45,-6,0.0525,0.055,-1.891,0.00992,-0.0752,0.01618
-10,45,-4,0.0637,0.0339,-2.095,0.00362,-0.0616,0.01084
-10,45,-2,0.0557,0.0183,-1.998,-0.00122,-0.0684,0.00254
-10,45,0,0.0598,0,-2.16,0,-0.0467,0
-10,45,2,0.0596,-0.0544,-2.152,-0.0122,-0.0617,-0.01332
-10,45,4,0.0569,-0.0929,-2.136,-0.01136,-0.0725,-0.03614
-10,45,6,0.0527,-0.1312,-2.02,-0.01404,-0.0996,-0.04568
-10,45,8,0.0573,-0.1581,-2.154,-0.01646,-0.0881,-0.0539
-10,45,10,0.0543,-0.1766,-2.081,-0.02028,-0.1028,-0.06126
-10,45,15,0.0513,-0.1977,-2.022,-0.03366,-0.1079,-0.07022
-10,45,20,0.0543,-0.1859,-1.844,-0.03884,-0.0556,-0.05646
-10,45,25,0.0551,-0.19,-1.885,-0.05164,-0.033,-0.0281
-10,45,30,0.0534,-0.2385,-1.754,-0.05454,-0.0265,-0.0306
0,-20,-30,-0.0277,0.3692,1.183,-0.0205,0.0922,-0.0541
0,-20,-25,-0.0285,0.2991,1.246,-0.017,0.0559,-0.0563
0,-20,-20,-0.0318,0.2417,1.279,-0.0076,0.0525,-0.0461
0,-20,-15,-0.0256,0.1692,1.29,0.0047,-0.0338,-0.0495
0,-20,-10,-0.0184,0.1078,1.369,0.015,-0.0518,-0.0296
0,-20,-8,-0.0156,0.0874,1.364,0.0134,-0.0605,-0.0208
0,-20,-6,-0.0159,0.0837,1.297,0.0008,-0.0574,-0.0173
0,-20,-4,-0.0162,0.0572,1.277,0.0013,-0.0554,-0.01
0,-20,-2,-0.0174,0.026,1.276,0.0027,-0.055,-0.0043
0,-20,0,-0.0181,0,1.256,0,-0.0503,0
0,-20,2,-0.0179,-0.0258,1.281,-0.0012,-0.0521,0.0037
0,-20,4,-0.0167,-0.0592,1.28,-0.0031,-0.0483,0.0076
0,-20,6,-0.0168,-0.0863,1.312,-0.0054,-0.0459,0.0121
0,-20,8,-0.0156,-0.1209,1.315,-0.0051,-0.0404,0.0186
0,-20,10,-0.0153,-0.1504,1.306,-0.0054,-0.0373,0.0231
0,-20,15,-0.0225,-0.2106,1.227,0.0036,-0.0193,0.0428
0,-20,20,-0.0287,-0.2836,1.216,0.0159,0.067,0.0393
0,-20,25,-0.0254,-0.3396,1.183,0.0256,0.0704,0.0494
0,-20,30,-0.0246,-0.4106,1.12,0.0297,0.1067,0.0468
0,-15,-30,-0.0314,0.4368,0.96,-0.006,0.0372,-0.0678
0,-15,-25,-0.031,0.3797,1.018,-0.0042,0.0062,-0.0728
0,-15,-20,-0.0259,0.3249,1.055,-0.0007,-0.0067,-0.0658
0,-15,-15,-0.0191,0.2636,1.093,0.0033,-0.0217,-0.0539
0,-15,-10,-0.0161,0.1826,1.058,0.0006,-0.0702,-0.0358
0,-15,-8,-0.0157,0.1456,1.039,-0.0002,-0.086,-0.0282
0,-15,-6,-0.0162,0.1068,1.031,0.0022,-0.1001,-0.0204
0,-15,-4,-0.0173,0.0701,1.019,0.0039,-0.1,-0.0126
0,-15,-2,-0.0189,0.0336,1.025,0.0019,-0.1002,-0.0058
0,-15,0,-0.0193,0,1.035,0,-0.1012,0
0,-15,2,-0.0186,-0.0337,1.033,-0.0015,-0.0974,0.0057
0,-15,4,-0.0186,-0.0702,1.042,-0.003,-0.0939,0.0125
0,-15,6,-0.017,-0.11,1.043,-0.0039,-0.0839,0.0206
0,-15,8,-0.0155,-0.15,1.056,-0.0028,-0.0837,0.0288
0,-15,10,-0.0154,-0.1902,1.056,-0.0003,-0.0759,0.0364
0,-15,15,-0.0184,-0.2712,1.091,-0.0024,-0.0274,0.0539
0,-15,20,-0.0252,-0.3332,1.053,0.0023,-0.0124,0.0658
0,-15,25,-0.0303,-0.3882,1.016,0.0052,0.0005,0.073
0,-15,30,-0.0307,-0.4452,0.958,0.0072,0.0315,0.0683
0,-10,-30,-0.0295,0.5,0.709,-0.0081,0.0251,-0.078
0,-10,-25,-0.0298,0.4441,0.71,-0.0061,0.0006,-0.0773
0,-10,-20,-0.026,0.3671,0.702,-0.0001,0.0014,-0.0629
0,-10,-15,-0.0233,0.2896,0.704,0.0018,-0.0229,-0.0555
0,-10,-10,-0.0209,0.1871,0.701,0.0034,-0.0536,-0.037
0,-10,-8,-0.0215,0.1475,0.71,0.0022,-0.0634,-0.0289
0,-10,-6,-0.0214,0.1096,0.73,0.0016,-0.0654,-0.0218
0,-10,-4,-0.0224,0.0757,0.729,0.0006,-0.0656,-0.0142
0,-10,-2,-0.023,0.0377,0.729,0,-0.0652,-0.0068
0,-10,0,-0.0224,0,0.725,0,-0.0647,0
0,-10,2,-0.022,-0.0339,0.729,-0.0003,-0.0653,0.0069
0,-10,4,-0.0217,-0.0708,0.728,-0.0008,-0.0659,0.0141
0,-10,6,-0.0213,-0.1108,0.728,-0.0011,-0.0654,0.0224
0,-10,8,-0.0205,-0.1513,0.723,-0.002,-0.0631,0.0301
0,-10,10,-0.0199,-0.1949,0.711,-0.0026,-0.057,0.0387
0,-10,15,-0.0223,-0.2978,0.714,-0.0007,-0.0263,0.0572
0,-10,20,-0.025,-0.3758,0.712,0.0007,-0.002,0.0645
0,-10,25,-0.0288,-0.4528,0.72,0.0071,-0.0028,0.0715
0,-10,30,-0.0285,-0.5078,0.719,0.0093,0.0217,0.0794
0,-5,-30,-0.0148,0.5683,0.222,0.0106,-0.0006,-0.0881
0,-5,-25,-0.0153,0.4913,0.216,0.0102,-0.0193,-0.0851
0,-5,-20,-0.0163,0.3913,0.231,0.0104,-0.0234,-0.0753
0,-5,-15,-0.015,0.2943,0.227,0.0103,-0.0321,-0.0556
0,-5,-10,-0.0167,0.1926,0.24,0.0093,-0.0386,-0.0402
0,-5,-8,-0.0173,0.149,0.243,0.0073,-0.0389,-0.0308
0,-5,-6,-0.0185,0.1125,0.244,0.0052,-0.0385,-0.0254
0,-5,-4,-0.0189,0.0723,0.249,0.003,-0.0386,-0.0141
0,-5,-2,-0.0193,0.0369,0.249,0.0012,-0.0388,-0.0067
0,-5,0,-0.0196,0,0.248,0,-0.0387,0
0,-5,2,-0.0192,-0.0363,0.248,-0.001,-0.0389,0.0067
0,-5,4,-0.0185,-0.0765,0.242,-0.0027,-0.0387,0.0144
0,-5,6,-0.0179,-0.1169,0.239,-0.0044,-0.0388,0.0234
0,-5,8,-0.0178,-0.1644,0.235,-0.0065,-0.0392,0.0328
0,-5,10,-0.0162,-0.2132,0.229,-0.0087,-0.0386,0.043
0,-5,15,-0.0155,-0.3148,0.216,-0.01,-0.0321,0.0586
0,-5,20,-0.0168,-0.4118,0.22,-0.0103,-0.0234,0.0785
0,-5,25,-0.0158,-0.513,0.205,-0.0102,-0.0193,0.0872
0,-5,30,-0.0153,-0.5889,0.211,-0.0106,-0.0006,0.0913
0,0,-30,-0.0136,0.6293,-0.066,0.0238,-0.0273,-0.106
0,0,-25,-0.0149,0.5313,-0.084,0.0232,-0.0246,-0.0929
0,0,-20,-0.0143,0.4173,-0.09,0.0224,-0.023,-0.0754
0,0,-15,-0.0136,0.3053,-0.105,0.0204,-0.0231,-0.0593
0,0,-10,-0.0168,0.2024,-0.104,0.0168,-0.0259,-0.042
0,0,-8,-0.0178,0.1582,-0.099,0.0134,-0.0255,-0.0319
0,0,-6,-0.0182,0.1116,-0.107,0.0098,-0.0286,-0.0222
0,0,-4,-0.0188,0.0729,-0.099,0.006,-0.0271,-0.0135
0,0,-2,-0.0197,0.0374,-0.099,0.0029,-0.0271,-0.0062
0,0,0,-0.0202,0,-0.1,0,-0.0267,0
0,0,2,-0.0196,-0.0374,-0.101,-0.0027,-0.0266,0.0066
0,0,4,-0.0188,-0.0776,-0.104,-0.0058,-0.0272,0.0143
0,0,6,-0.018,-0.1223,-0.104,-0.0094,-0.028,0.0234
0,0,8,-0.0172,-0.1712,-0.104,-0.0134,-0.0267,0.034
0,0,10,-0.016,-0.2158,-0.106,-0.0164,-0.027,0.0429
0,0,15,-0.0144,-0.3196,-0.107,-0.02,-0.0242,0.0595
0,0,20,-0.0151,-0.4308,-0.092,-0.022,-0.0241,0.0759
0,0,25,-0.0149,-0.5443,-0.086,-0.0228,-0.0257,0.0938
0,0,30,-0.0144,-0.6426,-0.068,-0.0234,-0.0284,0.1066
0,5,-30,-0.0029,0.6397,-0.317,0.039,-0.0319,-0.1051
0,5,-25,-0.001,0.5367,-0.347,0.0361,-0.0272,-0.0877
0,5,-20,-0.0003,0.4267,-0.39,0.0353,-0.0204,-0.0728
0,5,-15,-0.0005,0.3097,-0.414,0.0315,-0.017,-0.0573
0,5,-10,-0.0004,0.2042,-0.42,0.0248,-0.0152,-0.041
0,5,-8,-0.0006,0.163,-0.417,0.0202,-0.0148,-0.0324
0,5,-6,-0.0017,0.1174,-0.417,0.0149,-0.0145,-0.0225
0,5,-4,-0.0027,0.0775,-0.421,0.01,-0.0138,-0.014
0,5,-2,-0.0033,0.0394,-0.424,0.0049,-0.0127,-0.0061
0,5,0,-0.0033,0,-0.428,0,-0.0128,0
0,5,2,-0.0033,-0.0352,-0.421,-0.0049,-0.0133,0.0062
0,5,4,-0.0024,-0.0785,-0.428,-0.01,-0.0141,0.0149
0,5,6,-0.0014,-0.1189,-0.422,-0.0149,-0.0149,0.0229
0,5,8,-0.0004,-0.1689,-0.423,-0.0206,-0.0157,0.0336
0,5,10,0.0004,-0.215,-0.425,-0.025,-0.0164,0.0423
0,5,15,0.0013,-0.3218,-0.419,-0.0317,-0.0182,0.0589
0,5,20,0.0011,-0.4364,-0.395,-0.0355,-0.0216,0.0747
0,5,25,-0.0002,-0.5448,-0.352,-0.0363,-0.0287,0.0877
0,5,30,-0.0021,-0.6496,-0.322,-0.0392,-0.0331,0.1069
0,10,-30,0.0085,0.6132,-0.569,0.0485,-0.0446,-0.0926
0,10,-25,0.0104,0.5192,-0.619,0.0463,-0.0368,-0.0797
0,10,-20,0.0116,0.4302,-0.679,0.043,-0.0266,-0.0731
0,10,-15,0.0121,0.3142,-0.703,0.0347,-0.0166,-0.058
0,10,-10,0.0131,0.208,-0.728,0.0263,-0.0127,-0.0424
0,10,-8,0.0125,0.1631,-0.765,0.0213,-0.0113,-0.0327
0,10,-6,0.0122,0.1187,-0.772,0.0155,-0.0092,-0.0235
0,10,-4,0.0119,0.0784,-0.774,0.01,-0.0057,-0.0154
0,10,-2,0.0104,0.037,-0.772,0.0046,-0.0033,-0.0064
0,10,0,0.0099,0,-0.774,0,-0.0016,0
0,10,2,0.0096,-0.0378,-0.77,-0.0048,-0.0017,0.0064
0,10,4,0.0106,-0.0774,-0.767,-0.0115,-0.0025,0.015
0,10,6,0.0117,-0.1228,-0.761,-0.0175,-0.0038,0.0243
0,10,8,0.0126,-0.1664,-0.754,-0.0227,-0.0049,0.033
0,10,10,0.0127,-0.2153,-0.756,-0.0278,-0.0085,0.0425
0,10,15,0.0117,-0.3196,-0.731,-0.036,-0.0124,0.0579
0,10,20,0.0112,-0.4353,-0.707,-0.0443,-0.0224,0.073
0,10,25,0.01,-0.5237,-0.645,-0.0476,-0.0326,0.0796
0,10,30,0.0081,-0.6177,-0.597,-0.0498,-0.0404,0.0925
0,15,-30,0.0145,0.5416,-0.853,0.0462,-0.0682,-0.0632
0,15,-25,0.0168,0.4876,-0.929,0.0462,-0.0587,-0.067
0,15,-20,0.0196,0.4126,-1.018,0.045,-0.0425,-0.0653
0,15,-15,0.0218,0.3066,-1.07,0.042,-0.0197,-0.0549
0,15,-10,0.0225,0.2023,-1.098,0.0297,0,-0.0414
0,15,-8,0.0231,0.1576,-1.116,0.0241,0.0026,-0.0316
0,15,-6,0.0238,0.1168,-1.1144,0.0172,0.0078,-0.0223
0,15,-4,0.0238,0.0718,-1.151,0.0113,0.0158,-0.0135
0,15,-2,0.0231,0.0377,-1.142,0.0052,0.0243,-0.0059
0,15,0,0.0224,0,-1.139,0,0.0323,0
0,15,2,0.0224,-0.0368,-1.135,-0.0056,0.0328,0.0055
0,15,4,0.0226,-0.0784,-1.118,-0.0123,0.029,0.0143
0,15,6,0.0227,-0.1194,-1.112,-0.0187,0.0189,0.0232
0,15,8,0.0223,-0.1636,-1.107,-0.0248,0.012,0.0325
0,15,10,0.0222,-0.2096,-1.099,-0.0304,0.0061,0.0417
0,15,15,0.0215,-0.3143,-1.071,-0.0369,-0.0136,0.0533
0,15,20,0.0193,-0.4223,-1.019,-0.0399,-0.0364,0.0656
0,15,25,0.0165,-0.4947,-0.93,-0.0411,-0.0526,0.0673
0,15,30,0.0142,-0.5499,-0.854,-0.0411,-0.0621,0.0635
0,20,-30,0.0165,0.475,-1.106,0.048,-0.0947,-0.0359
0,20,-25,0.017,0.375,-1.168,0.0335,-0.0851,-0.0191
0,20,-20,0.0205,0.295,-1.228,0.029,-0.0642,-0.0173
0,20,-15,0.0226,0.23,-1.314,0.0209,-0.0536,-0.023
0,20,-10,0.0252,0.1576,-1.348,0.0158,-0.0308,-0.0216
0,20,-8,0.0245,0.1254,-1.359,0.0141,-0.0293,-0.0174
0,20,-6,0.0236,0.0919,-1.362,0.0095,-0.0275,-0.0076
0,20,-4,0.0232,0.059,-1.352,0.0058,-0.0234,-0.0058
0,20,-2,0.0233,0.0282,-1.357,0.0005,-0.0188,-0.0015
0,20,0,0.0221,0,-1.355,0,-0.0161,0
0,20,2,0.0232,-0.0313,-1.371,-0.006,-0.0141,0.003
0,20,4,0.0241,-0.067,-1.376,-0.0117,-0.0136,0.0087
0,20,6,0.025,-0.1023,-1.37,-0.0175,-0.0154,0.0159
0,20,8,0.0267,-0.1374,-1.379,-0.0183,-0.018,0.0227
0,20,10,0.0276,-0.171,-1.399,-0.0203,-0.0273,0.0279
0,20,15,0.025,-0.2452,-1.365,-0.025,-0.0501,0.0292
0,20,20,0.0229,-0.3089,-1.279,-0.0335,-0.0607,0.0237
0,20,25,0.0212,-0.3869,-1.219,-0.0378,-0.0816,0.0253
0,20,30,0.0189,-0.488,-1.157,-0.0521,-0.0912,0.0421
0,25,-30,0.0138,0.4878,-1.314,0.0731,-0.109,-0.0342
0,25,-25,0.0172,0.3708,-1.407,0.0573,-0.1235,-0.0208
0,25,-20,0.0157,0.2508,-1.465,0.0371,-0.0938,-0.0017
0,25,-15,0.0178,0.1578,-1.506,0.0221,-0.0777,0.0063
0,25,-10,0.0226,0.1176,-1.564,0.0233,-0.0674,-0.0059
0,25,-8,0.0251,0.1174,-1.598,0.0203,-0.0648,-0.0094
0,25,-6,0.0264,0.0893,-1.628,0.0175,-0.0607,-0.0061
0,25,-4,0.0274,0.0585,-1.647,0.012,-0.0558,-0.0029
0,25,-2,0.0271,0.0286,-1.646,0.0061,-0.0526,-0.0012
0,25,0,0.0278,0,-1.65,0,-0.0455,0
0,25,2,0.0275,-0.0301,-1.642,-0.0058,-0.0471,0.0008
