parameter,independent_variables,3
elevator[deg],alpha[deg],beta[deg],Cx,Cy,Cz,Cl,Cm,Cn
-25,0,-10,-0.0838,0.2024,0.073,0.0172,0.1846,-0.0382
-25,0,-8,-0.0832,0.1582,0.085,0.0132,0.1843,-0.0282
-25,0,-6,-0.0835,0.1116,0.075,0.01,0.1783,-0.0189
-25,0,-4,-0.0834,0.0729,0.081,0.0064,0.1755,-0.0115
-25,0,-2,-0.0842,0.0374,0.079,0.0031,0.1746,-0.0049
-25,0,0,-0.0845,0,0.08,0,0.174,0
-25,0,2,-0.0842,-0.0374,0.081,-0.0032,0.1744,0.006
-25,0,4,-0.0832,-0.0776,0.075,-0.0066,0.1743,0.013
-25,0,6,-0.0823,-0.1223,0.072,-0.0101,0.1731,0.0217
-25,0,8,-0.0825,-0.1712,0.065,-0.0138,0.1759,0.0318
-25,0,10,-0.0819,-0.2158,0.057,-0.0169,0.1765,0.0408
-25,0,15,-0.081,-0.3196,0.06,-0.0219,0.1812,0.0563
-25,0,20,-0.0779,-0.4308,0.082,-0.0284,0.1799,0.0719
-25,0,25,-0.0742,-0.5443,0.07,-0.0324,0.175,0.0915
-25,0,30,-0.0685,-0.6426,0.097,-0.0354,0.1746,0.1045
-25,5,-30,-0.0531,0.6397,-0.132,0.0462,0.1611,-0.1021
-25,5,-25,-0.0577,0.5367,-0.162,0.0391,0.1898,-0.0785
-25,5,-20,-0.0616,0.4267,-0.205,0.0386,0.1906,-0.0665
-25,5,-15,-0.0649,0.3097,-0.234,0.0325,0.192,-0.0507
-25,5,-10,-0.0621,0.2042,-0.245,0.0269,0.1948,-0.0347
-25,5,-8,-0.0625,0.163,-0.239,0.0217,0.1954,-0.0275
-25,5,-6,-0.0636,0.1174,-0.237,0.0159,0.1949,-0.0191
-25,5,-4,-0.0647,0.0775,-0.24,0.0107,0.194,-0.0116
-25,5,-2,-0.0652,0.0394,-0.243,0.0055,0.1952,-0.0047
-25,5,0,-0.066,0,-0.25,0,0.195,0
-25,5,2,-0.0647,-0.0352,-0.246,-0.0059,0.1958,0.0057
-25,5,4,-0.0643,-0.0785,-0.247,-0.0113,0.1961,0.0133
-25,5,6,-0.0628,-0.1189,-0.247,-0.0161,0.1953,0.0208
-25,5,8,-0.0619,-0.1689,-0.248,-0.0221,0.1947,0.0302
-25,5,10,-0.0618,-0.215,-0.246,-0.0271,0.1946,0.0385
-25,5,15,-0.0631,-0.3218,-0.229,-0.0346,0.1931,0.0548
-25,5,20,-0.0602,-0.4364,-0.206,-0.0406,0.1905,0.0706
-25,5,25,-0.056,-0.5448,-0.15,-0.0413,0.1872,0.0821
-25,5,30,-0.0505,-0.6496,-0.129,-0.048,0.1792,0.1065
-25,10,-30,-0.0353,0.6132,-0.359,0.0537,0.1724,-0.0926
-25,10,-25,-0.0495,0.5192,-0.404,0.0511,0.1872,-0.0758
-25,10,-20,-0.0441,0.4302,-0.469,0.0474,0.1944,-0.0644
-25,10,-15,-0.047,0.3142,-0.496,0.038,0.2064,-0.049
-25,10,-10,-0.0446,0.208,-0.52,0.0281,0.2114,-0.0366
-25,10,-8,-0.0453,0.1631,-0.556,0.0227,0.2129,-0.0284
-25,10,-6,-0.0455,0.1187,-0.561,0.0166,0.2143,-0.0204
-25,10,-4,-0.048,0.0784,-0.568,0.0108,0.2178,-0.0133
-25,10,-2,-0.0509,0.037,-0.559,0.0057,0.2244,-0.0056
-25,10,0,-0.0511,0,-0.554,0,0.2266,0
-25,10,2,-0.0517,-0.0378,-0.552,-0.0051,0.2271,0.0055
-25,10,4,-0.05,-0.0774,-0.546,-0.0121,0.2257,0.0134
-25,10,6,-0.0477,-0.1228,-0.537,-0.0187,0.2253,0.0228
-25,10,8,-0.0462,-0.1664,-0.539,-0.0243,0.2238,0.0307
-25,10,10,-0.0456,-0.2153,-0.536,-0.0299,0.2197,0.0389
-25,10,15,-0.048,-0.3196,-0.504,-0.0389,0.216,0.0512
-25,10,20,-0.0451,-0.4353,-0.483,-0.0488,0.2032,0.0671
-25,10,25,-0.0433,-0.5237,-0.421,-0.0521,0.1956,0.0785
-25,10,30,-0.0363,-0.6177,-0.374,-0.0547,0.1801,0.0948
-25,15,-30,-0.0281,0.5416,-0.638,0.0467,0.1658,-0.0796
-25,15,-25,-0.0319,0.4876,-0.684,0.0453,0.1943,-0.0696
-25,15,-20,-0.0348,0.4126,-0.758,0.0441,0.2165,-0.0591
-25,15,-15,-0.0359,0.3066,-0.805,0.0414,0.2353,-0.0483
-25,15,-10,-0.0326,0.2023,-0.835,0.0303,0.2536,-0.0378
-25,15,-8,-0.0317,0.1576,-0.845,0.0245,0.2552,-0.0282
-25,15,-6,-0.0296,0.1168,-0.8464,0.017,0.2608,-0.0201
-25,15,-4,-0.0288,0.0718,-0.889,0.0111,0.2676,-0.0128
-25,15,-2,-0.0309,0.0377,-0.882,0.0053,0.2731,-0.0052
-25,15,0,-0.0311,0,-0.883,0,0.2817,0
-25,15,2,-0.0319,-0.0368,-0.877,-0.0055,0.2808,0.0047
-25,15,4,-0.031,-0.0784,-0.865,-0.0118,0.2778,0.0131
-25,15,6,-0.0309,-0.1194,-0.861,-0.0189,0.2676,0.0212
-25,15,8,-0.0321,-0.1636,-0.845,-0.0246,0.2589,0.0295
-25,15,10,-0.0321,-0.2096,-0.843,-0.0307,0.2545,0.0385
