parameter,independent_variables,2
alpha[deg],beta[deg],Cy_rudder,Cl_rudder,Cn_rudder
15,-8,0.168068,0.0238732,-0.0874716
15,-6,0.174752,0.0261651,-0.0920552
15,-4,0.177617,0.02712,-0.0924372
15,-2,0.168641,0.0263561,-0.0888085
15,0,0.159282,0.0257831,-0.0851797
15,2,0.164248,0.0257831,-0.0857527
15,4,0.170168,0.027502,-0.0880445
15,6,0.16272,0.02712,-0.0847978
15,8,0.163675,0.0250192,-0.0805961
15,10,0.153744,0.0211994,-0.0735296
15,15,0.152025,0.0217724,-0.0702828
15,20,0.105997,0.0181437,-0.0529031
15,25,0.124714,0.0179527,-0.0521392
15,30,0.140375,0.0181437,-0.0517572
20,-30,0.175707,0.0368603,-0.112109
20,-25,0.181437,0.0215814,-0.110772
20,-20,0.219634,0.0221544,-0.110008
20,-15,0.206265,0.0246372,-0.0983578
20,-10,0.1356,0.0147059,-0.0704738
20,-8,0.155081,0.0229183,-0.080787
20,-6,0.186784,0.02712,-0.09492
20,-4,0.172842,0.02712,-0.100459
20,-2,0.191368,0.0284569,-0.095684
20,0,0.178763,0.0261651,-0.0907183
20,2,0.166922,0.026929,-0.0857527
20,4,0.173797,0.027693,-0.0901454
20,6,0.182965,0.0284569,-0.0903363
20,8,0.187357,0.0252101,-0.0884265
20,10,0.185065,0.0217724,-0.0655082
20,15,0.118411,0.0126051,-0.0567228
20,20,0.0996947,0.0156608,-0.0450727
20,25,0.130825,0.0158518,-0.0439268
20,30,0.14343,0.0158518,-0.0433538
25,-30,0.154699,0.00916732,-0.0979758
25,-25,0.13751,0.0101223,-0.0981668
25,-20,0.196716,0.0101223,-0.0983578
25,-15,0.169977,0.0143239,-0.0867076
25,-10,0.125287,0.00935831,-0.0576778
25,-8,0.158518,0.0192896,-0.0786862
25,-6,0.193087,0.0219634,-0.0937741
25,-4,0.209894,0.0244462,-0.0987397
25,-2,0.194997,0.0284569,-0.095111
25,0,0.18984,0.0280749,-0.0922462
25,2,0.190222,0.0254011,-0.0924372
25,4,0.19557,0.0257831,-0.095302
25,6,0.187739,0.02712,-0.0916732
25,8,0.18411,0.0229183,-0.0897634
25,10,0.173797,0.0196716,-0.0834609
25,15,0.12777,0.014133,-0.0559589
25,20,0.0970209,0.0190986,-0.0437358
25,25,0.140566,0.0190986,-0.0443087
25,30,0.105997,0.0190986,-0.0439268
30,-30,0.0744845,-0.000381972,-0.0569138
30,-25,0.0725747,-0.000381972,-0.0567228
30,-20,0.0935831,0,-0.0569138
30,-15,0.124141,0.00477465,-0.0500383
30,-10,0.0756304,-0.00362873,-0.026738
30,-8,0.0977848,0.00974028,-0.0466006
30,-6,0.157754,0.013942,-0.0760124
30,-4,0.185065,0.0211994,-0.0924372
30,-2,0.202636,0.02712,-0.095302
30,0,0.204546,0.0240642,-0.0943471
30,2,0.193851,0.0261651,-0.0918642
30,4,0.203591,0.0244462,-0.0937741
30,6,0.194997,0.0211994,-0.0937741
30,8,0.174179,0.0211994,-0.0828879
30,10,0.140184,0.0154699,-0.0664631
30,15,0.0943471,0.00649352,-0.0435448
30,20,0.127006,0.0110772,-0.0381972
30,25,0.141521,0.0114592,-0.0380062
30,30,0.13942,0.0118411,-0.0362873
35,-30,0.0649352,-0.00916732,-0.0704738
35,-25,0.0935831,0.00802141,-0.0704738
35,-20,0.1356,0.00802141,-0.0632163
35,-15,0.13942,0.00763944,-0.0626434
35,-10,0.0886175,0.00897634,-0.0452637
35,-8,0.110581,0.00687549,-0.0414439
35,-6,0.10848,0.00974028,-0.0473645
35,-4,0.148396,0.0152789,-0.0660811
35,-2,0.163675,0.0154699,-0.0825059
35,0,0.169023,0.0217724,-0.0857527
35,2,0.180482,0.0177617,-0.082124
35,4,0.18793,0.0189076,-0.080978
35,6,0.188312,0.0210085,-0.0859437
35,8,0.163484,0.0198625,-0.0752485
35,10,0.119748,0.0110772,-0.0553859
35,15,0.067609,0.00974028,-0.0374332
35,20,0.0721927,0.00935831,-0.0305577
35,25,0.0998856,0.00935831,-0.0305577
35,30,0.12987,0.0263561,-0.0171887
40,-30,-0.402025,-0.0206265,-0.0504203
40,-25,-0.2712,0.00630254,-0.0315127
40,-20,-0.189076,0.0166158,-0.0567228
40,-15,-0.0725747,0.00572958,-0.0496563
40,-10,0.0889994,0.00496563,-0.0353324
40,-8,0.067991,0.00324676,-0.0393431
40,-6,0.115737,-0.000381972,-0.0370513
40,-4,0.0880445,0.00859437,-0.0446907
40,-2,0.125669,0.0183346,-0.0563408
40,0,0.143048,0.0112682,-0.0626434
40,2,0.150497,0.0187166,-0.0637893
40,4,0.150497,0.0160428,-0.0597786
40,6,0.12586,0.0166158,-0.0534761
40,8,0.136746,0.0164248,-0.0460276
40,10,0.0920552,0.0127961,-0.0418259
40,15,0.0796411,0.01356,-0.0280749
40,20,0.0305577,0.000381972,-0.0198625
40,25,-0.0112682,0.0112682,-0.0456456
40,30,0.0884265,0.0374332,-0.0487014
45,-30,0.095493,0.0143239,-0.0252101
45,-25,0.103132,0.0101223,-0.026547
45,-20,0.13178,0.012987,-0.0154699
45,-15,0.0725747,0.0124141,-0.0315127
45,-10,0.0349504,0.0101223,-0.0240642
45,-8,0.0452637,0.00286479,-0.0231093
45,-6,0.0649352,0.0114592,-0.0292208
45,-4,0.0872806,0.00744845,-0.0294118
45,-2,0.0744845,0.00343775,-0.0322766
45,0,0.0739116,0.0013369,-0.0309397
45,2,0.0870896,0.0101223,-0.0330406
45,4,0.0639803,0.00878535,-0.0324676
45,6,0.0784952,0.00974028,-0.0299848
45,8,0.0508023,0.00783042,-0.0252101
45,10,0.0731476,0.00496563,-0.0171887
45,15,0.0391521,0.00305577,-0.0124141
45,20,-0.0162338,0.00171887,-0.02712
45,25,0.0103132,0.00458366,-0.0164248
45,30,0.0150879,0.000190986,-0.0183346
50,-30,0.0458366,-0.00095493,-0.026547
50,-25,0.0229183,0.00534761,-0.0211994
50,-20,0.0381972,0.00630254,-0.0231093
50,-15,-0.0515662,0.00095493,-0.0210085
50,-10,0.0152789,0.00190986,-0.0110772
50,-8,0.027502,0.00210085,-0.0156608
50,-6,0.0473645,0.00362873,-0.0288389
50,-4,0.0213904,0.00496563,-0.0158518
50,-2,0.0332316,0.00458366,-0.0143239
50,0,0.0479375,0.00496563,-0.0154699
50,2,0.0110772,0.00171887,-0.0196716
50,4,0.0668451,0.00802141,-0.0158518
50,6,0.0427808,0.00152789,-0.0158518
50,8,0.00592056,0.0118411,-0.0194806
50,10,0.0263561,0.00381972,-0.0204355
50,15,0.0907183,0.00515662,-0.0110772
50,20,0.00611155,-0.000381972,-0.00916732
50,25,0.0240642,0,-0.00783042
50,30,0.000763944,0.00611155,-0.00229183
55,-30,0.0305577,-0.000381972,-0.0118411
55,-25,0.026738,0.00248282,-0.0147059
55,-20,0.0210085,0.00190986,-0.00802141
55,-15,0.00572958,0.000763944,-0.013942
55,-10,0.0250192,-0.00190986,-0.00649352
55,-8,0.013942,-0.000572958,-0.00859437
55,-6,0.0202445,0.00152789,-0.00993127
55,-4,-0.0101223,0.0040107,-0.00095493
55,-2,-0.0110772,0.00458366,-0.00744845
55,0,0.0233003,0.00362873,-0.00763944
55,2,0.00152789,0.00114592,-0.00763944
55,4,0.0150879,0.00324676,-0.00592056
55,6,0.027693,0,-0.00592056
55,8,-0.00515662,0.00592056,-0.0095493
55,10,0.00381972,0.00229183,-0.0114592
55,15,0.0225363,0.00190986,-0.00420169
55,20,0.00458366,0.000763944,-0.00878535
55,25,0.00210085,-0.000190986,-0.00477465
