parameter,independent_variables,1
alpha[deg],Cx_qbar,Cz_qbar,Cm_qbar
-20,-0.267,-8.8,-7.207
-15,-0.267,-8.8,-7.207
-10,-0.267,-8.8,-7.207
-5,-0.11,-25.8,-0.54
0,0.28,-28.9,-5.23
5,0.88,-31.8,-5.18
10,0.96,-31,-6.23
15,0.79,-33.9,-6.34
20,0.72,-32.3,-6.95
25,0.41,-28.4,-8.51
30,0.676,-31.7,-7.86
35,0.673,-33.3,-8.12
40,0.73,-39.6,-7.8
45,0.66,-35.95,-6.6
