     vehicle name   , time[s]            , dt[s]              , u[ft/s]            , v[ft/s]            , w[ft/s]            , p[rad/s]           , q[rad/s]           , r[rad/s]           , x[ft]              , y[ft]              , z[ft]              , e0                 , ex                 , ey                 , ez                 , aileron[deg]       , elevator[deg]      , rudder[deg]        , throttle           , d_aileron          , d_elevator         , d_rudder           , d_throttle         , aileron_sp[deg]    , elevator_sp[deg]   , rudder_sp[deg]     , throttle_sp[none]  
                F16,  8.000000000000E-02,  1.000000000000E-02,  3.469975296051E+02,  9.761414474087E-03,  4.574457112105E+01,  2.569096311305E-02, -7.838095283723E-03,  1.219680989656E-03,  2.800000065487E+01, -1.117586705068E-04, -1.000000913969E+03,  9.978490984527E-01,  2.593677145915E-04,  6.555234109202E-02, -4.790151945923E-06, -3.200000000000E+00, -6.094352498782E+00, -6.063519875122E-03,  6.971535333632E-02, -7.833333333333E+01,  6.000000000000E+01, -3.622809796892E-01, -1.120428482790E-02, -1.534491457826E+01, -2.590258373055E-01, -9.161182042024E-02,  2.124784903717E-06 
                F16,  9.000000000000E-02,  1.000000000000E-02,  3.470035327924E+02,  1.657906989023E-02,  4.569653602019E+01,  3.631460614889E-02, -1.087748068474E-02,  1.730907338807E-03,  3.149999701084E+01, -1.769210175950E-04, -1.000001428329E+03,  9.978520980156E-01,  4.136021401914E-04,  6.550587272536E-02, -7.588438491251E-06, -3.991666666667E+00, -5.494352498782E+00, -1.075914085005E-02,  6.959721383699E-02, -8.000000000000E+01,  6.000000000000E+01, -5.642826489704E-01, -1.241710764479E-02, -1.528916763058E+01, -3.607519274068E-01, -1.296840723485E-01,  5.360615722598E-06 
                F16,  1.000000000000E-01,  1.000000000000E-02,  3.470111445585E+02,  2.636496462150E-02,  4.563488959045E+01,  4.918495418252E-02, -1.445079907091E-02,  2.355430764155E-03,  3.499998927017E+01, -2.658573042305E-04, -1.000002111644E+03,  9.978561188335E-01,  6.266302711121E-04,  6.544290114913E-02, -1.140891693600E-05, -4.791666666667E+00, -4.894352498782E+00, -1.781230767361E-02,  6.946714019425E-02, -8.000000000000E+01,  6.000000000000E+01, -8.292759261456E-01, -1.359126210237E-02, -1.519560886818E+01, -4.810430544927E-01, -1.757908699929E-01,  1.033569814950E-05 
                F16,  1.100000000000E-01,  1.000000000000E-02,  3.470205330732E+02,  3.975757776279E-02,  4.555805784414E+01,  6.426015828574E-02, -1.855083221179E-02,  3.094475477433E-03,  3.849997553321E+01, -3.823844967933E-04, -1.000002983811E+03,  9.978612835688E-01,  9.096162231294E-04,  6.536077633608E-02, -1.641372641697E-05, -5.591666666667E+00, -4.295427461673E+00, -2.787209765396E-02,  6.932551485769E-02, -8.000000000000E+01,  5.954228631598E+01, -1.160507577174E+00, -1.472759221638E-02, -1.506365766594E+01, -6.198900138620E-01, -2.296948537210E-01,  1.735907326219E-05 
                F16,  1.200000000000E-01,  1.000000000000E-02,  3.470318587836E+02,  5.736267091224E-02,  4.546454410659E+01,  8.149009335190E-02, -2.316404321052E-02,  3.949557563166E-03,  4.199995361509E+01, -5.298558704629E-04, -1.000004061773E+03,  9.978676844641E-01,  1.273472997248E-03,  6.525689275081E-02, -2.274239029213E-05, -6.391666666667E+00, -3.712656998354E+00, -4.159958789708E-02,  6.917271195422E-02, -8.000000000000E+01,  5.675219897408E+01, -1.557305527067E+00, -1.582691859217E-02, -1.489286823684E+01, -7.770766320130E-01, -2.910654222127E-01,  2.668184379470E-05 
                F16,  1.300000000000E-01,  1.000000000000E-02,  3.470452675246E+02,  7.974627258385E-02,  4.535305489589E+01,  1.008250963703E-01, -2.825729360551E-02,  4.922917670167E-03,  4.549992115688E+01, -7.111154063240E-04, -1.000005358607E+03,  9.978753705063E-01,  1.728865166629E-03,  6.512875732987E-02, -3.050828059730E-05, -7.191666666667E+00, -3.167525618246E+00, -5.963198662294E-02,  6.900909751316E-02, -8.000000000000E+01,  5.212530072119E+01, -2.015736139536E+00, -1.689004021887E-02, -1.468280506397E+01, -9.517467302044E-01, -3.595063768300E-01,  3.839552745129E-05 
                F16,  1.400000000000E-01,  1.000000000000E-02,  3.470608878611E+02,  1.074296370309E-01,  4.522254578576E+01,  1.222160007779E-01, -3.378004746539E-02,  6.017516314904E-03,  4.899987580963E+01, -9.284582692069E-04, -1.000006882320E+03,  9.978843319766E-01,  2.286211419900E-03,  6.497408444419E-02, -3.979487839793E-05, -7.991666666667E+00, -2.675581015723E+00, -8.255361504336E-02,  6.883502966233E-02, -8.000000000000E+01,  4.621047461396E+01, -2.529310197273E+00, -1.791773846836E-02, -1.443304208609E+01, -1.142467283292E+00, -4.345561239962E-01,  5.239447871694E-05 
                F16,  1.500000000000E-01,  1.000000000000E-02,  3.470788290344E+02,  1.408844320123E-01,  4.507223202617E+01,  1.456141882765E-01, -3.966984111649E-02,  7.237002807281E-03,  5.249981543360E+01, -1.183598075124E-03, -1.000008634988E+03,  9.978944857420E-01,  2.955687275459E-03,  6.479086874593E-02, -5.065196206227E-05, -8.791666666667E+00, -2.247306256085E+00, -1.108735377200E-01,  6.865085878049E-02, -8.000000000000E+01,  3.947230764323E+01, -3.089606035153E+00, -1.891078181288E-02, -1.414316204010E+01, -1.347398254981E+00, -5.156900880679E-01,  6.838003263490E-05 
                F16,  1.600000000000E-01,  1.000000000000E-02,  3.470991786331E+02,  1.805299468749E-01,  4.490158780814E+01,  1.709626515845E-01, -4.585685236398E-02,  8.585238004089E-03,  5.599973828200E+01, -1.477638520795E-03, -1.000010612267E+03,  9.979056616731E-01,  3.747221507762E-03,  6.457743221230E-02, -6.309172411369E-05, -9.582184545142E+00, -1.888934888635E+00, -1.450090428406E-01,  6.845692760380E-02, -7.768297714450E+01,  3.229693290099E+01, -3.686816051830E+00, -1.986993031420E-02, -1.381288442697E+01, -1.564435504488E+00, -6.022948757615E-01,  8.588414506012E-05 
                F16,  1.700000000000E-01,  1.000000000000E-02,  3.471220004192E+02,  2.267313208705E-01,  4.471033700678E+01,  1.981392055214E-01, -5.226767611231E-02,  1.006352387264E-02,  5.949964315436E+01, -1.810973729971E-03, -1.000012803201E+03,  9.979175908068E-01,  4.670314767151E-03,  6.433245041718E-02, -7.708194810933E-05, -1.033223181593E+01, -1.603203209760E+00, -1.852736880496E-01,  6.825357129068E-02, -7.208590870334E+01,  2.499867779071E+01, -4.310118408371E+00, -2.079593945801E-02, -1.344289034736E+01, -1.791329884674E+00, -6.934852046850E-01,  1.043045730889E-04 
